       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
        396 25 May 2023 08:52:56      1.000      1.009    11.3400  36.239916     0.0076 1.3255e+03    289.613    103.610      1.000    31.9188    24.3170    1490.87 0.0000e+00
        698 25 May 2023 08:54:11      2.000      2.019    11.0856  36.701112     0.0027 1.0487e+03    308.398    110.234      2.000    32.5951    24.8882    1490.81 0.0000e+00
        707 25 May 2023 08:54:14      3.000      3.027    10.9929  36.925214     0.0321 7.3637e+02    307.697    109.845      3.000    32.8989    25.1409    1490.86 0.0000e+00
        723 25 May 2023 08:54:18      4.000      4.037    10.9224  36.931315     0.3402 5.2876e+02    306.654    109.307      4.000    32.9678    25.2070    1490.72 0.0000e+00
        739 25 May 2023 08:54:21      5.000      5.046    10.8390  36.895545     0.7117 3.9489e+02    304.927    108.533      5.000    33.0069    25.2522    1490.48 0.0000e+00
        754 25 May 2023 08:54:25      6.000      6.055    10.7508  36.906212     0.8845 2.8975e+02    302.184    107.526      6.000    33.0968    25.3376    1490.30 0.0000e+00
        769 25 May 2023 08:54:29      7.000      7.065    10.7001  36.932889     0.9822 2.2578e+02    304.361    108.340      7.000    33.1690    25.4027    1490.22 0.0000e+00
        785 25 May 2023 08:54:33      8.000      8.074    10.6838  37.009275     1.1950 1.7663e+02    308.648    110.020      8.000    33.2598    25.4762    1490.29 0.0000e+00
        800 25 May 2023 08:54:37      9.000      9.083    10.7294  37.163896     1.2721 1.3567e+02    310.426    110.217      9.000    33.3723    25.5559    1490.60 0.0000e+00
        815 25 May 2023 08:54:41     10.000     10.092    10.5554  37.056885     1.3867 1.1527e+02    309.696    109.645     10.000    33.4240    25.6265    1490.07 0.0000e+00
        831 25 May 2023 08:54:44     11.000     11.101    10.4001  36.954365     1.4919 9.5083e+01    310.329    109.806     11.000    33.4631    25.6839    1489.58 0.0000e+00
        846 25 May 2023 08:54:48     12.000     12.111    10.3496  36.936003     1.6255 7.8423e+01    308.309    109.002     12.000    33.4906    25.7141    1489.45 0.0000e+00
        862 25 May 2023 08:54:52     13.000     13.120    10.3124  36.919749     1.5353 6.5192e+01    304.160    107.350     13.000    33.5081    25.7341    1489.35 0.0000e+00
        877 25 May 2023 08:54:56     14.000     14.129    10.2346  36.860629     1.7421 5.4034e+01    304.844    107.473     14.000    33.5198    25.7565    1489.10 0.0000e+00
        893 25 May 2023 08:55:00     15.000     15.138    10.1699  36.819724     1.5045 4.4426e+01    300.660    105.932     15.000    33.5378    25.7815    1488.91 0.0000e+00
        908 25 May 2023 08:55:04     16.000     16.148    10.1371  36.807159     1.4282 3.7249e+01    295.247    103.960     16.000    33.5550    25.8005    1488.83 0.0000e+00
        923 25 May 2023 08:55:08     17.000     17.157    10.1038  36.790992     1.4302 3.1174e+01    291.476    102.583     17.000    33.5691    25.8171    1488.75 0.0000e+00
        938 25 May 2023 08:55:11     18.000     18.166    10.0798  36.777542     1.2175 2.6416e+01    288.494    101.488     18.000    33.5772    25.8275    1488.69 0.0000e+00
        953 25 May 2023 08:55:15     19.000     19.175    10.0524  36.763891     1.3878 2.2102e+01    287.396    101.080     19.000    33.5883    25.8408    1488.62 0.0000e+00
        968 25 May 2023 08:55:19     20.000     20.185    10.0409  36.759231     1.1402 1.8417e+01    287.498    101.104     20.000    33.5938    25.8471    1488.60 0.0000e+00
        983 25 May 2023 08:55:23     21.000     21.194    10.0338  36.756578     1.3159 1.5442e+01    286.286    100.676     21.000    33.5972    25.8510    1488.59 0.0000e+00
        999 25 May 2023 08:55:26     22.000     22.203    10.0316  36.757983     1.2001 1.2873e+01    286.859    100.876     22.000    33.6002    25.8537    1488.61 0.0000e+00
       1014 25 May 2023 08:55:30     23.000     23.212    10.0303  36.758955     1.2646 1.0346e+01    286.815    100.855     23.000    33.6020    25.8553    1488.62 0.0000e+00
       1029 25 May 2023 08:55:34     24.000     24.222    10.0285  36.758236     1.2790 7.7594e+00    286.470    100.714     24.000    33.6026    25.8560    1488.63 0.0000e+00
       1045 25 May 2023 08:55:38     25.000     25.231    10.0205  36.752033     1.3298 5.7362e+00    286.133    100.506     25.000    33.6032    25.8579    1488.62 0.0000e+00
       1060 25 May 2023 08:55:42     26.000     26.240     9.9873  36.718403     1.5569 4.1776e+00    280.528     98.472     26.000    33.5994    25.8605    1488.51 0.0000e+00
       1076 25 May 2023 08:55:46     27.000     27.250     9.9452  36.694775     0.9784 3.2582e+00    279.752     98.186     27.000    33.6141    25.8790    1488.39 0.0000e+00
       1092 25 May 2023 08:55:50     28.000     28.259     9.9367  36.692789     0.8364 2.6590e+00    279.903     98.225     28.000    33.6195    25.8847    1488.39 0.0000e+00
       1107 25 May 2023 08:55:54     29.000     29.269     9.9293  36.688363     0.7513 2.1766e+00    279.651     98.126     29.000    33.6214    25.8874    1488.38 0.0000e+00
       1124 25 May 2023 08:55:58     30.000     30.278     9.9236  36.686305     0.6411 1.7918e+00    278.957     97.873     30.000    33.6242    25.8906    1488.38 0.0000e+00
       1139 25 May 2023 08:56:01     31.000     31.287     9.9175  36.686626     0.5704 1.4943e+00    278.730     97.788     31.000    33.6298    25.8959    1488.38 0.0000e+00
       1154 25 May 2023 08:56:05     32.000     32.297     9.9143  36.686531     0.6611 1.2540e+00    278.311     97.636     32.000    33.6322    25.8984    1488.39 0.0000e+00
       1170 25 May 2023 08:56:09     33.000     33.306     9.9112  36.686185     0.5479 1.0526e+00    277.452     97.331     33.000    33.6342    25.9004    1488.40 0.0000e+00
