       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
        188 25 May 2023 12:11:02      1.000      1.009    12.3794  37.991822     0.0361 1.4011e+03    273.302    100.522      1.000    32.7135    24.7421    1495.41 0.0000e+00
        411 25 May 2023 12:11:58      2.000      2.018    12.2715  37.868085     0.0060 1.0626e+03    299.297    109.509      2.000    32.6883    24.7431    1495.03 0.0000e+00
        435 25 May 2023 12:12:04      3.000      3.028    12.0761  37.720129     0.0057 8.1496e+02    299.906    109.029      3.000    32.7163    24.8016    1494.41 0.0000e+00
        461 25 May 2023 12:12:10      4.000      4.037    11.7500  37.506089     0.0075 5.9393e+02    299.863    108.692      4.000    32.7953    24.9236    1493.40 0.0000e+00
        486 25 May 2023 12:12:16      5.000      5.046    11.6191  37.438540     0.0118 4.5344e+02    298.736    107.900      5.000    32.8448    24.9861    1493.02 0.0000e+00
        511 25 May 2023 12:12:22      6.000      6.055    11.4626  37.393213     0.8834 3.4444e+02    299.951    108.185      6.000    32.9391    25.0879    1492.61 0.0000e+00
        534 25 May 2023 12:12:28      7.000      7.065    11.3432  37.312759     1.9246 2.5411e+02    298.194    106.956      7.000    32.9662    25.1307    1492.24 0.0000e+00
        557 25 May 2023 12:12:34      8.000      8.074    11.0804  37.138233     1.8609 1.8921e+02    296.546    106.202      8.000    33.0291    25.2267    1491.41 0.0000e+00
        580 25 May 2023 12:12:40      9.000      9.083    11.0369  37.121748     1.2541 1.4753e+02    296.036    105.985      9.000    33.0515    25.2519    1491.30 0.0000e+00
        603 25 May 2023 12:12:46     10.000     10.092    11.0171  37.110802     1.0345 1.1660e+02    295.144    105.621     10.000    33.0580    25.2605    1491.26 0.0000e+00
        626 25 May 2023 12:12:51     11.000     11.101    10.9944  37.097493     0.9164 9.4124e+01    293.260    104.897     11.000    33.0649    25.2699    1491.20 0.0000e+00
        649 25 May 2023 12:12:57     12.000     12.111    10.9717  37.087759     0.8896 7.6250e+01    290.583    103.904     12.000    33.0752    25.2819    1491.15 0.0000e+00
        672 25 May 2023 12:13:03     13.000     13.120    10.9526  37.077385     0.8570 6.1736e+01    288.480    103.114     13.000    33.0817    25.2903    1491.11 0.0000e+00
        697 25 May 2023 12:13:09     14.000     14.129    10.9333  37.069377     0.8141 4.9628e+01    286.262    102.298     14.000    33.0908    25.3008    1491.07 0.0000e+00
        721 25 May 2023 12:13:15     15.000     15.138    10.9245  37.067174     0.8080 3.9801e+01    283.046    101.145     15.000    33.0961    25.3065    1491.06 0.0000e+00
        758 25 May 2023 12:13:24     16.000     16.148    10.9274  37.071354     0.6976 3.1391e+01    280.361    100.200     16.000    33.0971    25.3068    1491.09 0.0000e+00
        791 25 May 2023 12:13:33     15.000     15.138    10.9308  37.073484     0.6659 3.9982e+01    280.310    100.184     15.000    33.0967    25.3059    1491.08 0.0000e+00
        811 25 May 2023 12:13:37     14.000     14.129    10.9315  37.073393     0.7006 4.9867e+01    281.300    100.548     14.000    33.0964    25.3055    1491.07 0.0000e+00
        830 25 May 2023 12:13:42     13.000     13.120    10.9375  37.075871     0.7545 6.2307e+01    283.143    101.231     13.000    33.0939    25.3025    1491.07 0.0000e+00
        849 25 May 2023 12:13:47     12.000     12.111    10.9507  37.081441     0.8220 7.8042e+01    289.169    103.414     12.000    33.0880    25.2955    1491.09 0.0000e+00
        868 25 May 2023 12:13:52     11.000     11.101    10.9651  37.088308     0.9533 9.6709e+01    290.420    103.892     11.000    33.0821    25.2885    1491.12 0.0000e+00
        886 25 May 2023 12:13:56     10.000     10.092    10.9811  37.096184     1.0687 1.2097e+02    292.206    104.572     10.000    33.0759    25.2808    1491.15 0.0000e+00
        905 25 May 2023 12:14:01      9.000      9.083    11.0015  37.107535     1.0562 1.5292e+02    293.137    104.947      9.000    33.0693    25.2720    1491.20 0.0000e+00
        924 25 May 2023 12:14:06      8.000      8.074    11.0222  37.119365     1.1964 1.9538e+02    294.619    105.517      8.000    33.0628    25.2633    1491.25 0.0000e+00
        944 25 May 2023 12:14:11      7.000      7.065    11.0427  37.132860     1.8377 2.4937e+02    294.604    105.752      7.000    33.0582    25.2561    1491.30 0.0000e+00
        963 25 May 2023 12:14:15      6.000      6.055    11.1632  37.230011     1.6457 3.4254e+02    295.994    106.683      6.000    33.0463    25.2253    1491.69 0.0000e+00
        982 25 May 2023 12:14:20      5.000      5.046    11.3749  37.347765     0.3748 4.5011e+02    295.464    106.824      5.000    32.9732    25.1304    1492.32 0.0000e+00
       1002 25 May 2023 12:14:25      4.000      4.037    11.5478  37.427462     0.0026 5.9114e+02    294.827    106.900      4.000    32.8977    25.0403    1492.82 0.0000e+00
       1023 25 May 2023 12:14:30      3.000      3.028    11.7056  37.505250     0.0062 8.1263e+02    293.882    106.821      3.000    32.8342    24.9620    1493.27 0.0000e+00
       1043 25 May 2023 12:14:36      2.000      2.018    11.8281  37.577151     0.0050 9.9406e+02    293.277    106.939      2.000    32.7964    24.9100    1493.63 0.0000e+00
       1064 25 May 2023 12:14:41      1.000      1.009    12.0144  37.564024     0.0071 1.6584e+03    309.816    103.654      1.000    32.6212    24.7394    1494.05 0.0000e+00
