       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
          1 25 May 2023 12:42:38      0.118      0.119    13.4353   0.001314     0.0423 2.1170e+03    328.500    100.717      0.118     0.0071    -0.6720    1460.36 0.0000e+00
          2 25 May 2023 12:42:38      0.118      0.119    13.4348   0.001308     0.0314 2.1314e+03    328.303    100.655      0.118     0.0071    -0.6719    1460.36 0.0000e+00
          3 25 May 2023 12:42:38      0.119      0.120    13.4344   0.001295     0.0334 2.0931e+03    328.493    100.712      0.119     0.0071    -0.6718    1460.36 0.0000e+00
          4 25 May 2023 12:42:38      0.119      0.120    13.4339   0.001272     0.0414 2.0671e+03    328.475    100.704      0.119     0.0071    -0.6718    1460.36 0.0000e+00
          5 25 May 2023 12:42:38      0.120      0.121    13.4334   0.001242     0.0285 2.0291e+03    328.396    100.679      0.120     0.0071    -0.6717    1460.36 0.0000e+00
          6 25 May 2023 12:42:38      0.120      0.121    13.4329   0.001217     0.0324 2.0233e+03    328.356    100.666      0.120     0.0071    -0.6717    1460.36 0.0000e+00
          7 25 May 2023 12:42:39      0.120      0.122    13.4324   0.001198     0.0215 2.0500e+03    328.363    100.666      0.120     0.0071    -0.6716    1460.35 0.0000e+00
          8 25 May 2023 12:42:39      0.121      0.122    13.4319   0.001185     0.0374 2.0972e+03    328.664    100.757      0.121     0.0071    -0.6715    1460.35 0.0000e+00
          9 25 May 2023 12:42:39      0.121      0.123    13.4314   0.001179     0.0185 2.1115e+03    328.469    100.696      0.121     0.0071    -0.6715    1460.35 0.0000e+00
         10 25 May 2023 12:42:39      0.122      0.123    13.4309   0.001175     0.0225 2.1096e+03    328.534    100.714      0.122     0.0071    -0.6714    1460.35 0.0000e+00
         11 25 May 2023 12:42:39      0.123      0.124    13.4303   0.001165     0.0146 1.7768e+03    328.556    100.719      0.123     0.0071    -0.6713    1460.35 0.0000e+00
         12 25 May 2023 12:42:40      0.123      0.124    13.4298   0.001143     0.0255 5.4134e+02    328.569    100.722      0.123     0.0071    -0.6713    1460.34 0.0000e+00
         13 25 May 2023 12:42:40      0.123      0.125    13.4292   0.001117     0.0354 5.3219e+02    328.419    100.674      0.123     0.0071    -0.6712    1460.34 0.0000e+00
         14 25 May 2023 12:42:40      0.124      0.125    13.4287   0.001094     0.0215 5.3289e+02    328.461    100.685      0.124     0.0070    -0.6711    1460.34 0.0000e+00
         15 25 May 2023 12:42:40      0.124      0.125    13.4281   0.001079     0.0225 5.3628e+02    328.441    100.677      0.124     0.0070    -0.6711    1460.34 0.0000e+00
         16 25 May 2023 12:42:40      0.125      0.126    13.4276   0.001072     0.0185 5.4146e+02    328.392    100.661      0.125     0.0070    -0.6710    1460.34 0.0000e+00
         17 25 May 2023 12:42:42      0.125      0.126    13.4270   0.001069     0.0304 5.5854e+02    328.472    100.683      0.125     0.0070    -0.6709    1460.33 0.0000e+00
         18 25 May 2023 12:42:42      0.126      0.127    13.4265   0.001058     0.0175 5.5708e+02    328.332    100.639      0.126     0.0070    -0.6709    1460.33 0.0000e+00
         19 25 May 2023 12:42:42      0.126      0.127    13.4259   0.001041     0.0106 5.6617e+02    328.456    100.675      0.126     0.0070    -0.6708    1460.33 0.0000e+00
         20 25 May 2023 12:42:42      0.126      0.127    13.4253   0.001029     0.0156 2.0776e+03    328.419    100.662      0.126     0.0070    -0.6707    1460.33 0.0000e+00
         21 25 May 2023 12:42:42      0.126      0.127    13.4247   0.001021     0.0275 2.0835e+03    328.636    100.727      0.126     0.0070    -0.6706    1460.33 0.0000e+00
         22 25 May 2023 12:42:43      0.126      0.128    13.4240   0.001015     0.0195 2.0649e+03    328.556    100.701      0.126     0.0070    -0.6705    1460.32 0.0000e+00
         23 25 May 2023 12:42:43      0.126      0.128    13.4234   0.001018    -0.0092 2.0789e+03    328.505    100.683      0.126     0.0070    -0.6705    1460.32 0.0000e+00
         24 25 May 2023 12:42:43      0.127      0.128    13.4227   0.001037     0.0166 2.0958e+03    328.704    100.743      0.127     0.0070    -0.6704    1460.32 0.0000e+00
         25 25 May 2023 12:42:43      0.127      0.128    13.4221   0.001074     0.0285 2.1351e+03    328.672    100.731      0.127     0.0070    -0.6703    1460.32 0.0000e+00
         26 25 May 2023 12:42:43      0.127      0.128    13.4214   0.001148     0.0225 2.1581e+03    328.836    100.779      0.127     0.0071    -0.6702    1460.31 0.0000e+00
         27 25 May 2023 12:42:43      0.127      0.128    13.4208   0.001283     0.0175 2.1558e+03    328.519    100.680      0.127     0.0071    -0.6701    1460.31 0.0000e+00
         28 25 May 2023 12:42:44      0.128      0.129    13.4201   0.001504     0.0195 2.1431e+03    328.747    100.749      0.128     0.0072    -0.6699    1460.31 0.0000e+00
         29 25 May 2023 12:42:44      0.128      0.129    13.4194   0.001875     0.0275 2.1087e+03    328.408    100.643      0.128     0.0073    -0.6697    1460.31 0.0000e+00
         30 25 May 2023 12:42:44      0.128      0.130    13.4187   0.002505     0.0215 2.0867e+03    320.732    100.767      0.128     0.0075    -0.6695    1460.30 0.0000e+00
