       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
        124 25 May 2023 09:40:32      1.000      1.009    11.4011  36.598040     0.1956 1.0270e+03    260.553     93.495      1.000    32.2167    24.5377    1491.44 0.0000e+00
        260 25 May 2023 09:41:06      2.000      2.018    11.1188  36.502963     0.4783 1.3579e+02    312.227    111.437      2.000    32.3700    24.7071    1490.65 0.0000e+00
        281 25 May 2023 09:41:11      3.000      3.028    10.9916  36.704198     0.5418 9.3159e+01    314.615    112.327      3.000    32.6811    24.9717    1490.60 0.0000e+00
        304 25 May 2023 09:41:17      4.000      4.037    10.9630  36.822538     0.6752 7.8430e+01    314.324    112.281      4.000    32.8234    25.0875    1490.68 0.0000e+00
        328 25 May 2023 09:41:23      5.000      5.046    10.9922  36.904678     0.8887 6.9478e+01    314.977    112.684      5.000    32.8783    25.1250    1490.87 0.0000e+00
        351 25 May 2023 09:41:28      6.000      6.055    11.0294  36.971427     1.0402 6.7370e+01    313.279    111.821      6.000    32.9106    25.1435    1491.06 0.0000e+00
        375 25 May 2023 09:41:34      7.000      7.064    10.8378  36.928535     1.4385 7.3630e+01    303.823    108.040      7.000    33.0400    25.2781    1490.55 0.0000e+00
        398 25 May 2023 09:41:40      8.000      8.074    10.6211  36.866820     1.4506 8.1201e+01    299.216    105.898      8.000    33.1744    25.4206    1489.96 0.0000e+00
        421 25 May 2023 09:41:46      9.000      9.083    10.3777  36.787458     1.2324 7.7814e+01    294.101    103.899      9.000    33.3163    25.5733    1489.29 0.0000e+00
        444 25 May 2023 09:41:52     10.000     10.092    10.3057  36.770520     0.9756 6.7209e+01    293.959    103.826     10.000    33.3649    25.6235    1489.10 0.0000e+00
        468 25 May 2023 09:41:58     11.000     11.101    10.2961  36.775129     0.9958 5.8647e+01    294.815    104.100     11.000    33.3780    25.6354    1489.10 0.0000e+00
