       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
          1 25 May 2023 10:08:29      0.135      0.136    13.2620   0.001094     0.0304 2.8087e+02    331.151    101.186      0.135     0.0070    -0.6494    1459.73 0.0000e+00
          2 25 May 2023 10:08:29      0.135      0.136    13.2627   0.001117     0.0423 2.8465e+02    331.140    101.183      0.135     0.0070    -0.6495    1459.73 0.0000e+00
          3 25 May 2023 10:08:29      0.136      0.137    13.2634   0.001134     0.0423 2.8446e+02    331.030    101.149      0.136     0.0070    -0.6495    1459.74 0.0000e+00
          4 25 May 2023 10:08:29      0.136      0.137    13.2641   0.001149     0.0384 2.8521e+02    331.274    101.224      0.136     0.0070    -0.6496    1459.74 0.0000e+00
          5 25 May 2023 10:08:31      0.137      0.138    13.2649   0.001170     0.0423 2.8001e+02    331.245    101.215      0.137     0.0070    -0.6497    1459.74 0.0000e+00
          6 25 May 2023 10:08:31      0.137      0.138    13.2657   0.001195     0.0374 2.7486e+02    331.155    101.188      0.137     0.0070    -0.6498    1459.75 0.0000e+00
          7 25 May 2023 10:08:31      0.138      0.139    13.2665   0.001218     0.0483 2.6909e+02    331.138    101.183      0.138     0.0070    -0.6499    1459.75 0.0000e+00
          8 25 May 2023 10:08:31      0.138      0.139    13.2673   0.001244     0.0453 2.6511e+02    331.228    101.211      0.138     0.0070    -0.6500    1459.75 0.0000e+00
          9 25 May 2023 10:08:31      0.139      0.140    13.2682   0.001277     0.0334 2.6628e+02    331.079    101.165      0.139     0.0070    -0.6501    1459.75 0.0000e+00
         10 25 May 2023 10:08:31      0.139      0.140    13.2690   0.001313     0.0225 2.6956e+02    331.155    101.188      0.139     0.0070    -0.6502    1459.76 0.0000e+00
         11 25 May 2023 10:08:32      0.139      0.141    13.2697   0.001344     0.0235 2.7879e+02    331.205    101.203      0.139     0.0070    -0.6503    1459.76 0.0000e+00
         12 25 May 2023 10:08:32      0.139      0.141    13.2704   0.001363     0.0205 2.9549e+02    331.185    101.196      0.139     0.0070    -0.6504    1459.76 0.0000e+00
         13 25 May 2023 10:08:32      0.140      0.141    13.2711   0.001370     0.0175 3.1712e+02    331.092    101.167      0.140     0.0070    -0.6505    1459.77 0.0000e+00
         14 25 May 2023 10:08:32      0.140      0.141    13.2716   0.001370     0.0364 3.2385e+02    331.274    101.223      0.140     0.0070    -0.6506    1459.77 0.0000e+00
         15 25 May 2023 10:08:32      0.140      0.141    13.2721   0.001371     0.0294 3.2131e+02    331.267    101.220      0.140     0.0070    -0.6506    1459.77 0.0000e+00
         16 25 May 2023 10:08:33      0.141      0.142    13.2725   0.001379     0.0166 8.5787e+02    331.297    101.229      0.141     0.0070    -0.6507    1459.77 0.0000e+00
         17 25 May 2023 10:08:33      0.141      0.142    13.2728   0.001387     0.0304 1.7410e+03    331.285    101.225      0.141     0.0070    -0.6507    1459.77 0.0000e+00
         18 25 May 2023 10:08:33      0.141      0.143    13.2730   0.001391     0.0255 1.3336e+03    331.110    101.171      0.141     0.0070    -0.6507    1459.77 0.0000e+00
         19 25 May 2023 10:08:33      0.142      0.143    13.2732   0.001394     0.0235 1.4415e+03    331.194    101.196      0.142     0.0070    -0.6508    1459.77 0.0000e+00
         20 25 May 2023 10:08:33      0.142      0.143    13.2734   0.001393     0.0285 1.4812e+03    331.414    101.263      0.142     0.0070    -0.6508    1459.77 0.0000e+00
         21 25 May 2023 10:08:35      0.142      0.144    13.2735   0.001386     0.0166 1.7247e+03    331.356    101.245      0.142     0.0070    -0.6508    1459.77 0.0000e+00
         22 25 May 2023 10:08:35      0.143      0.144    13.2736   0.001381     0.0265 1.5484e+03    331.255    101.214      0.143     0.0070    -0.6508    1459.77 0.0000e+00
         23 25 May 2023 10:08:35      0.143      0.144    13.2737   0.001370    -0.0003 1.3832e+03    331.193    101.194      0.143     0.0070    -0.6508    1459.77 0.0000e+00
         24 25 May 2023 10:08:35      0.143      0.144    13.2737   0.001353     0.0215 1.7236e+03    331.305    101.228      0.143     0.0070    -0.6508    1459.77 0.0000e+00
         25 25 May 2023 10:08:35      0.143      0.145    13.2737   0.001340     0.0285 1.7752e+03    331.035    101.145      0.143     0.0070    -0.6508    1459.77 0.0000e+00
         26 25 May 2023 10:08:35      0.143      0.145    13.2737   0.001329     0.0195 1.7865e+03    331.075    101.157      0.143     0.0070    -0.6508    1459.77 0.0000e+00
         27 25 May 2023 10:08:36      0.143      0.145    13.2737   0.001314     0.0215 1.7979e+03    330.896    101.101      0.143     0.0070    -0.6508    1459.77 0.0000e+00
         28 25 May 2023 10:08:36      0.143      0.145    13.2736   0.001300     0.0235 1.7991e+03    330.960    101.121      0.143     0.0070    -0.6508    1459.77 0.0000e+00
         29 25 May 2023 10:08:36      0.143      0.145    13.2735   0.001291     0.0195 1.7944e+03    331.077    101.156      0.143     0.0070    -0.6508    1459.77 0.0000e+00
         30 25 May 2023 10:08:36      0.143      0.145    13.2734   0.001289     0.0255 1.8046e+03    331.203    101.194      0.143     0.0070    -0.6508    1459.77 0.0000e+00
         31 25 May 2023 10:08:36      0.144      0.145    13.2732   0.001290     0.0304 1.8121e+03    331.203    101.194      0.144     0.0070    -0.6508    1459.77 0.0000e+00
         32 25 May 2023 10:08:37      0.144      0.145    13.2731   0.001287     0.0215 1.8105e+03    331.138    101.174      0.144     0.0070    -0.6508    1459.77 0.0000e+00
         33 25 May 2023 10:08:37      0.144      0.145    13.2729   0.001276     0.0304 1.8161e+03    331.161    101.180      0.144     0.0070    -0.6507    1459.77 0.0000e+00
         34 25 May 2023 10:08:37      0.144      0.146    13.2728   0.001262     0.0304 1.8161e+03    331.179    101.185      0.144     0.0070    -0.6507    1459.77 0.0000e+00
         35 25 May 2023 10:08:37      0.145      0.146    13.2726   0.001252     0.0096 1.7881e+03    331.082    101.155      0.145     0.0070    -0.6507    1459.77 0.0000e+00
         36 25 May 2023 10:08:37      0.145      0.146    13.2724   0.001246     0.0225 1.4766e+03    331.162    101.179      0.145     0.0070    -0.6507    1459.77 0.0000e+00
         37 25 May 2023 10:08:39      0.145      0.147    13.2722   0.001246     0.0235 1.1365e+03    331.185    101.185      0.145     0.0070    -0.6507    1459.77 0.0000e+00
         38 25 May 2023 10:08:39      0.145      0.147    13.2721   0.001248     0.0205 4.5574e+02    331.264    101.209      0.145     0.0070    -0.6506    1459.77 0.0000e+00
         39 25 May 2023 10:08:39      0.146      0.147    13.2719   0.001250     0.0185 3.3531e+02    331.303    101.220      0.146     0.0070    -0.6506    1459.77 0.0000e+00
         40 25 May 2023 10:08:39      0.146      0.147    13.2717   0.001255     0.0364 3.2885e+02    331.304    101.220      0.146     0.0070    -0.6506    1459.77 0.0000e+00
         41 25 May 2023 10:08:39      0.146      0.147    13.2715   0.001267     0.0195 3.2209e+02    331.192    101.185      0.146     0.0070    -0.6506    1459.77 0.0000e+00
         42 25 May 2023 10:08:40      0.146      0.147    13.2712   0.001294     0.0285 3.1657e+02    331.113    101.160      0.146     0.0070    -0.6505    1459.77 0.0000e+00
         43 25 May 2023 10:08:40      0.146      0.148    13.2710   0.001350     0.0265 3.1081e+02    331.231    101.196      0.146     0.0070    -0.6505    1459.76 0.0000e+00
         44 25 May 2023 10:08:40      0.146      0.148    13.2708   0.001467     0.0245 3.0736e+02    331.202    101.186      0.146     0.0071    -0.6504    1459.76 0.0000e+00
         45 25 May 2023 10:08:40      0.147      0.148    13.2706   0.001687     0.0205 3.0342e+02    331.128    101.162      0.147     0.0071    -0.6504    1459.76 0.0000e+00
         46 25 May 2023 10:08:40      0.147      0.148    13.2704   0.002062    -0.0102 2.9718e+02    331.321    101.221      0.147     0.0073    -0.6502    1459.76 0.0000e+00
         47 25 May 2023 10:08:40      0.147      0.148    13.2702   0.002682     0.0334 2.9049e+02    318.774    101.241      0.147     0.0075    -0.6500    1459.76 0.0000e+00
         48 25 May 2023 10:08:41      0.147      0.149    13.2700   0.003710     0.0265 2.8458e+02    297.299    101.358      0.147     0.0079    -0.6497    1459.76 0.0000e+00
         49 25 May 2023 10:08:41      0.148      0.149    13.2697   0.005420     0.0275 2.8069e+02    277.324    101.405      0.148     0.0086    -0.6491    1459.76 0.0000e+00
         50 25 May 2023 10:08:41      0.149      0.150    13.2694   0.008279     0.0185 2.7800e+02    278.522    101.476      0.149     0.0100    -0.6480    1459.76 0.0000e+00
         51 25 May 2023 10:08:41      0.150      0.151    13.2691   0.013055     0.0334 2.7721e+02    279.350    101.591      0.150     0.0124    -0.6460    1459.76 0.0000e+00
         52 25 May 2023 10:08:41      0.151      0.152    13.2686   0.021020     0.0245 2.7636e+02    280.316    101.854      0.151     0.0166    -0.6427    1459.77 0.0000e+00
         53 25 May 2023 10:08:42      0.152      0.154    13.2681   0.034300     0.0195 2.7812e+02    281.947    102.383      0.152     0.0240    -0.6369    1459.78 0.0000e+00
         54 25 May 2023 10:08:42      0.154      0.156    13.2672   0.056443     0.0146 2.7916e+02    284.282    103.155      0.154     0.0367    -0.6268    1459.79 0.0000e+00
         55 25 May 2023 10:08:42      0.156      0.158    13.2659   0.093350     0.0225 2.8001e+02    287.672    104.287      0.156     0.0585    -0.6096    1459.81 0.0000e+00
         56 25 May 2023 10:08:42      0.159      0.161    13.2640   0.154859     0.0235 2.8433e+02    291.247    105.490      0.159     0.0959    -0.5802    1459.85 0.0000e+00
         57 25 May 2023 10:08:42      0.163      0.165    13.2608   0.257376     0.0175 2.8671e+02    295.255    106.872      0.163     0.1598    -0.5300    1459.92 0.0000e+00
         58 25 May 2023 10:08:44      0.168      0.170    13.2557   0.428240     0.0374 2.8834e+02    299.127    108.229      0.168     0.2690    -0.4442    1460.03 0.0000e+00
         59 25 May 2023 10:08:44      0.174      0.176    13.2475   0.713024     0.0175 2.9164e+02    303.068    109.620      0.174     0.4559    -0.2978    1460.23 0.0000e+00
         60 25 May 2023 10:08:44      0.182      0.184    13.2339   1.187679     0.0195 2.9132e+02    306.635    110.863      0.182     0.7761    -0.0471    1460.57 0.0000e+00
         61 25 May 2023 10:08:44      0.193      0.194    13.2114   1.978775     0.0185 2.8954e+02    310.010    112.040      0.193     1.3271     0.3833    1461.15 0.0000e+00
         62 25 May 2023 10:08:44      0.206      0.208    13.1741   3.297268     0.0235 2.8715e+02    312.956    113.088      0.206     2.2785     1.1252    1462.17 0.0000e+00
         63 25 May 2023 10:08:45      0.223      0.225    13.1121   5.494755     0.0225 2.8639e+02    315.422    113.959      0.223     3.9300     2.4101    1463.92 0.0000e+00
         64 25 May 2023 10:08:45      0.244      0.246    13.0090   9.157240     0.0324 1.3886e+03    317.506    114.673      0.244     6.8133     4.6487    1466.98 0.0000e+00
         65 25 May 2023 10:08:45      0.272      0.274    12.8455  14.660312     0.0255 1.5093e+03    318.961    115.175      0.272    11.3755     8.1876    1471.79 0.0000e+00
         66 25 May 2023 10:08:45      0.307      0.310    12.6267  21.257029     0.0185 1.0422e+03    319.792    115.461      0.307    17.1420    12.6647    1477.81 0.0000e+00
         67 25 May 2023 10:08:45      0.352      0.355    12.3947  27.202230     0.0275 1.6815e+03    319.018    115.175      0.352    22.5991    16.9136    1483.45 0.0000e+00
         68 25 May 2023 10:08:45      0.405      0.409    12.1906  31.308420     0.0185 1.3705e+03    315.120    113.766      0.405    26.5299    19.9876    1487.40 0.0000e+00
         69 25 May 2023 10:08:46      0.467      0.471    12.0295  33.782444    -0.0082 2.5938e+02    310.847    112.221      0.467    28.9831    21.9156    1489.75 0.0000e+00
         70 25 May 2023 10:08:46      0.534      0.539    11.9090  35.271301     0.0255 2.5471e+02    307.257    110.927      0.534    30.5013    23.1142    1491.15 0.0000e+00
         71 25 May 2023 10:08:46      0.606      0.611    11.8198  36.159950     0.0265 2.6419e+02    302.640    109.264      0.606    31.4311    23.8518    1491.95 0.0000e+00
         72 25 May 2023 10:08:46      0.680      0.686    11.7525  36.680122    -0.1084 2.1776e+03    296.965    107.220      0.680    31.9920    24.2994    1492.39 0.0000e+00
         73 25 May 2023 10:08:46      0.754      0.761    11.6995  36.977303    -0.1084 1.3929e+03    290.420    104.856      0.754    32.3265    24.5688    1492.61 0.0000e+00
         74 25 May 2023 10:08:48      0.828      0.836    11.6560  37.144489     0.0225 8.9290e+02    283.855    102.478      0.828    32.5273    24.7327    1492.70 0.0000e+00
         75 25 May 2023 10:08:48      0.901      0.909    11.6201  37.238010     0.0285 9.8871e+02    277.427    100.151      0.901    32.6499    24.8345    1492.72 0.0000e+00
         76 25 May 2023 10:08:48      0.971      0.980    11.5908  37.289745     0.0245 1.5758e+03    271.462     97.990      0.971    32.7263    24.8992    1492.71 0.0000e+00
         77 25 May 2023 10:08:48      1.039      1.049    11.5663  37.316841     0.0195 1.3598e+03    265.388     95.786      1.039    32.7743    24.9410    1492.69 0.0000e+00
         78 25 May 2023 10:08:48      1.103      1.113    11.5454  37.329243     0.0344 8.3146e+02    259.604     93.692      1.103    32.8050    24.9686    1492.65 0.0000e+00
         79 25 May 2023 10:08:49      1.161      1.171    11.5272  37.334969     0.0195 1.2543e+03    254.776     91.950      1.161    32.8267    24.9888    1492.61 0.0000e+00
         80 25 May 2023 10:08:49      1.211      1.222    11.5110  37.338970     0.0195 1.4030e+03    251.077     90.614      1.211    32.8450    25.0060    1492.58 0.0000e+00
         81 25 May 2023 10:08:49      1.252      1.264    11.4964  37.341511     0.0245 1.9808e+03    247.622     89.363      1.252    32.8605    25.0207    1492.55 0.0000e+00
         82 25 May 2023 10:08:49      1.286      1.297    11.4832  37.342628     0.0136 1.1465e+03    244.469     88.220      1.286    32.8732    25.0330    1492.52 0.0000e+00
         83 25 May 2023 10:08:49      1.311      1.324    11.4716  37.344620     0.0166 7.7950e+02    241.603     87.183      1.311    32.8855    25.0446    1492.49 0.0000e+00
