       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
        290 23 May 2023 09:37:24      1.000      1.009    13.5054  28.093004     0.0058 3.1953e+02    264.410     93.552      1.000    22.7393    16.8264    1487.46 0.0000e+00
        525 23 May 2023 09:38:23      2.000      2.018    13.1046  29.302828     0.2685 1.7469e+02    279.590     97.226      2.000    24.0784    17.9309    1487.68 0.0000e+00
        547 23 May 2023 09:38:29      3.000      3.028    11.6456  29.827374     1.0470 1.0490e+02    282.650     97.030      3.000    25.5179    19.2975    1484.32 0.0000e+00
        570 23 May 2023 09:38:34      4.000      4.037    11.1039  29.766200     1.7587 6.6853e+01    277.403     94.449      4.000    25.8344    19.6328    1482.78 0.0000e+00
        592 23 May 2023 09:38:40      5.000      5.046    10.7041  29.770207     2.8629 4.2760e+01    273.387     92.928      5.000    26.1204    19.9193    1481.70 0.0000e+00
        611 23 May 2023 09:38:45      6.000      6.055    10.6265  29.809922     3.7319 2.6124e+01    258.491     87.756      6.000    26.2140    20.0044    1481.55 0.0000e+00
        631 23 May 2023 09:38:49      7.000      7.064    10.5553  29.835254     4.0806 1.5611e+01    239.788     81.405      7.000    26.2893    20.0742    1481.40 0.0000e+00
        650 23 May 2023 09:38:54      8.000      8.073    10.5462  29.861055     4.2473 9.0493e+00    231.965     78.733      8.000    26.3207    20.1000    1481.42 0.0000e+00
        669 23 May 2023 09:38:59      9.000      9.083    10.5087  29.928016     3.3673 5.4182e+00    228.263     77.392      9.000    26.4125    20.1773    1481.41 0.0000e+00
        688 23 May 2023 09:39:04     10.000     10.092    10.4419  29.941185     0.8284 3.6773e+00    239.533     81.160     10.000    26.4734    20.2352    1481.26 0.0000e+00
        707 23 May 2023 09:39:09     11.000     11.101    10.3976  29.964039     0.4679 2.7000e+00    245.940     83.297     11.000    26.5275    20.2843    1481.18 0.0000e+00
        726 23 May 2023 09:39:13     12.000     12.111    10.3754  29.974038     0.4008 1.9930e+00    250.485     84.935     12.000    26.5531    20.3077    1481.15 0.0000e+00
        746 23 May 2023 09:39:18     13.000     13.120    10.4105  30.071964     0.3752 1.4760e+00    254.728     86.585     13.000    26.6228    20.3563    1481.37 0.0000e+00
        768 23 May 2023 09:39:24     14.000     14.129    10.5238  30.262121     0.3498 1.1123e+00    256.176     87.340     14.000    26.7252    20.4180    1481.93 0.0000e+00
        791 23 May 2023 09:39:29     15.000     15.138    10.6336  30.405027     0.3532 8.3122e-01    256.171     87.540     15.000    26.7836    20.4459    1482.41 0.0000e+00
        814 23 May 2023 09:39:35     16.000     16.148    10.7062  30.518038     0.3522 6.3039e-01    256.659     87.689     16.000    26.8399    20.4780    1482.76 0.0000e+00
        834 23 May 2023 09:39:40     17.000     17.157    10.6854  30.516651     0.3380 4.7172e-01    256.441     87.755     17.000    26.8534    20.4919    1482.72 0.0000e+00
        853 23 May 2023 09:39:45     18.000     18.166    10.7411  30.627340     0.3388 3.5602e-01    255.773     87.693     18.000    26.9196    20.5343    1483.01 0.0000e+00
        873 23 May 2023 09:39:50     19.000     19.176    10.8217  30.740055     0.3447 2.7560e-01    255.379     87.756     19.000    26.9693    20.5599    1483.38 0.0000e+00
        893 23 May 2023 09:39:55     20.000     20.185    10.9115  30.856831     0.3424 2.0956e-01    256.545     88.248     20.000    27.0160    20.5815    1483.78 0.0000e+00
        912 23 May 2023 09:40:00     21.000     21.194    10.9496  30.893884     0.3527 1.6830e-01    256.449     88.235     21.000    27.0234    20.5810    1483.94 0.0000e+00
        931 23 May 2023 09:40:04     22.000     22.203    10.9561  30.907861     0.3574 1.3484e-01    255.822     88.036     22.000    27.0318    20.5864    1483.99 0.0000e+00
        949 23 May 2023 09:40:09     23.000     23.213    10.9593  30.927018     0.3498 1.0300e-01    255.533     87.952     23.000    27.0475    20.5981    1484.04 0.0000e+00
        966 23 May 2023 09:40:13     24.000     24.222    10.9601  30.953823     0.3544 7.9754e-02    255.628     88.023     24.000    27.0725    20.6174    1484.09 0.0000e+00
        985 23 May 2023 09:40:18     25.000     25.231    10.9757  30.980556     0.3519 6.5139e-02    254.463     87.562     25.000    27.0865    20.6257    1484.17 0.0000e+00
       1003 23 May 2023 09:40:23     26.000     26.240    10.9444  30.953522     0.3504 5.6982e-02    253.342     87.154     26.000    27.0830    20.6282    1484.07 0.0000e+00
       1022 23 May 2023 09:40:27     27.000     27.250    10.9325  30.954669     0.3490 5.5079e-02    253.060     87.126     27.000    27.0926    20.6375    1484.06 0.0000e+00
       1041 23 May 2023 09:40:32     28.000     28.259    10.9627  31.002224     0.3518 5.3599e-02    254.408     87.614     28.000    27.1158    20.6507    1484.21 0.0000e+00
       1060 23 May 2023 09:40:37     29.000     29.268    10.9712  31.023067     0.3566 5.3663e-02    253.665     87.393     29.000    27.1294    20.6598    1484.28 0.0000e+00
       1081 23 May 2023 09:40:42     30.000     30.278    10.9832  31.046575     0.3613 5.3837e-02    253.940     87.500     30.000    27.1428    20.6682    1484.35 0.0000e+00
       1101 23 May 2023 09:40:47     31.000     31.287    10.9889  31.066633     0.3649 5.3448e-02    254.610     87.783     31.000    27.1576    20.6788    1484.41 0.0000e+00
       1117 23 May 2023 09:40:51     32.000     32.296    11.0119  31.094073     0.3550 5.3341e-02    254.436     87.630     32.000    27.1668    20.6821    1484.52 0.0000e+00
       1130 23 May 2023 09:40:54     33.000     33.306    10.9834  31.062011     0.3588 5.3349e-02    250.454     86.219     33.000    27.1565    20.6789    1484.42 0.0000e+00
       1148 23 May 2023 09:40:59     34.000     34.315    10.9415  31.034470     0.3431 5.3350e-02    248.259     85.459     34.000    27.1605    20.6888    1484.29 0.0000e+00
       1167 23 May 2023 09:41:04     35.000     35.324    10.9379  31.044850     0.3386 5.3346e-02    247.690     85.353     35.000    27.1729    20.6990    1484.31 0.0000e+00
       1186 23 May 2023 09:41:08     36.000     36.334    10.9793  31.106957     0.3437 5.3361e-02    251.772     86.842     36.000    27.2019    20.7147    1484.51 0.0000e+00
       1206 23 May 2023 09:41:13     37.000     37.343    11.0188  31.150811     0.3505 5.3359e-02    254.195     87.697     37.000    27.2147    20.7181    1484.68 0.0000e+00
       1227 23 May 2023 09:41:18     38.000     38.353    11.0254  31.158585     0.3555 5.3350e-02    253.251     87.367     38.000    27.2169    20.7188    1484.72 0.0000e+00
       1248 23 May 2023 09:41:24     39.000     39.362    11.0214  31.163460     0.3560 5.3330e-02    252.574     87.132     39.000    27.2242    20.7251    1484.73 0.0000e+00
       1268 23 May 2023 09:41:29     40.000     40.371    11.0193  31.167001     0.3621 5.3344e-02    252.850     87.225     40.000    27.2288    20.7290    1484.75 0.0000e+00
       1287 23 May 2023 09:41:34     41.000     41.381    11.0160  31.173380     0.3557 5.3373e-02    252.157     86.993     41.000    27.2371    20.7360    1484.77 0.0000e+00
       1307 23 May 2023 09:41:39     42.000     42.390    11.0154  31.190066     0.3557 5.3348e-02    250.424     86.407     42.000    27.2533    20.7487    1484.80 0.0000e+00
       1327 23 May 2023 09:41:44     43.000     43.399    11.0185  31.203585     0.3718 5.3360e-02    251.496     86.784     43.000    27.2637    20.7562    1484.84 0.0000e+00
       1347 23 May 2023 09:41:48     44.000     44.409    11.0183  31.216952     0.3680 5.3360e-02    250.524     86.465     44.000    27.2763    20.7661    1484.87 0.0000e+00
       1366 23 May 2023 09:41:53     45.000     45.418    11.0250  31.232635     0.3709 5.3350e-02    249.602     86.162     45.000    27.2861    20.7726    1484.92 0.0000e+00
       1386 23 May 2023 09:41:58     46.000     46.428    11.0279  31.247977     0.3624 5.3352e-02    249.452     86.111     46.000    27.2984    20.7816    1484.97 0.0000e+00
       1405 23 May 2023 09:42:03     47.000     47.437    11.0266  31.256916     0.3741 5.3363e-02    251.083     86.712     47.000    27.3077    20.7890    1484.99 0.0000e+00
       1424 23 May 2023 09:42:08     48.000     48.446    11.0428  31.285445     0.3643 5.3354e-02    248.559     85.872     48.000    27.3228    20.7981    1485.08 0.0000e+00
       1441 23 May 2023 09:42:12     49.000     49.456    11.0556  31.307444     0.3675 5.3374e-02    247.602     85.559     49.000    27.3342    20.8049    1485.15 0.0000e+00
       1459 23 May 2023 09:42:17     50.000     50.465    11.0632  31.320080     0.3602 5.3356e-02    246.853     85.283     50.000    27.3404    20.8084    1485.21 0.0000e+00
       1479 23 May 2023 09:42:21     51.000     51.475    11.0537  31.312685     0.3588 5.3377e-02    249.028     86.036     51.000    27.3399    20.8096    1485.19 0.0000e+00
       1498 23 May 2023 09:42:26     52.000     52.484    11.0544  31.320839     0.3686 5.3335e-02    248.274     85.814     52.000    27.3469    20.8149    1485.22 0.0000e+00
       1519 23 May 2023 09:42:31     53.000     53.494    11.0696  31.352553     0.3644 5.3360e-02    247.017     85.396     53.000    27.3658    20.8271    1485.31 0.0000e+00
       1540 23 May 2023 09:42:37     54.000     54.503    11.0765  31.364827     0.3730 5.3367e-02    246.890     85.379     54.000    27.3721    20.8309    1485.36 0.0000e+00
       1561 23 May 2023 09:42:42     55.000     55.512    11.0873  31.390972     0.3734 5.3353e-02    246.033     85.091     55.000    27.3890    20.8421    1485.43 0.0000e+00
       1581 23 May 2023 09:42:47     56.000     56.522    11.0854  31.403798     0.3797 5.3349e-02    247.459     85.612     56.000    27.4024    20.8528    1485.46 0.0000e+00
       1602 23 May 2023 09:42:52     57.000     57.532    11.0966  31.434793     0.3926 5.3350e-02    246.665     85.355     57.000    27.4236    20.8675    1485.54 0.0000e+00
       1623 23 May 2023 09:42:57     58.000     58.541    11.1023  31.449721     0.4019 5.3373e-02    244.811     84.721     58.000    27.4333    20.8741    1485.59 0.0000e+00
       1644 23 May 2023 09:43:03     59.000     59.550    11.1045  31.454262     0.3979 5.3364e-02    243.059     84.130     59.000    27.4357    20.8756    1485.62 0.0000e+00
       1665 23 May 2023 09:43:08     60.000     60.560    11.1107  31.469303     0.3879 5.3359e-02    247.224     85.584     60.000    27.4452    20.8819    1485.67 0.0000e+00
       1685 23 May 2023 09:43:13     61.000     61.569    11.1124  31.492024     0.4244 5.3332e-02    251.308     87.043     61.000    27.4656    20.8974    1485.71 0.0000e+00
       1705 23 May 2023 09:43:18     62.000     62.579    11.1354  31.526953     0.4411 5.3365e-02    241.351     83.645     62.000    27.4817    20.9061    1485.83 0.0000e+00
       1727 23 May 2023 09:43:24     63.000     63.588    11.1586  31.555526     0.4108 5.3359e-02    238.005     82.539     63.000    27.4916    20.9099    1485.94 0.0000e+00
       1751 23 May 2023 09:43:29     64.000     64.598    11.1893  31.606158     0.3995 5.3360e-02    234.547     81.452     64.000    27.5170    20.9245    1486.10 0.0000e+00
       1774 23 May 2023 09:43:35     65.000     65.607    11.2474  31.696256     0.4025 5.3353e-02    226.830     78.866     65.000    27.5600    20.9481    1486.38 0.0000e+00
       1795 23 May 2023 09:43:40     66.000     66.617    11.2817  31.741018     0.4120 5.3331e-02    225.354     78.369     66.000    27.5771    20.9556    1486.54 0.0000e+00
       1814 23 May 2023 09:43:45     67.000     67.626    11.2886  31.748981     0.4156 5.3348e-02    224.971     78.279     67.000    27.5793    20.9561    1486.58 0.0000e+00
       1833 23 May 2023 09:43:50     68.000     68.636    11.3137  31.795086     0.4191 5.3356e-02    219.915     76.638     68.000    27.6044    20.9714    1486.71 0.0000e+00
       1853 23 May 2023 09:43:55     69.000     69.646    11.3703  31.871555     0.4283 5.3353e-02    216.954     75.623     69.000    27.6352    20.9857    1486.97 0.0000e+00
       1871 23 May 2023 09:44:00     70.000     70.655    11.3787  31.883958     0.4270 5.3331e-02    216.606     75.642     70.000    27.6404    20.9883    1487.02 0.0000e+00
       1889 23 May 2023 09:44:04     71.000     71.664    11.4528  31.997307     0.4442 5.3362e-02    199.023     69.835     71.000    27.6932    21.0166    1487.36 0.0000e+00
       1907 23 May 2023 09:44:09     72.000     72.674    11.6552  32.217408     0.4492 5.3345e-02    177.702     62.414     72.000    27.7520    21.0274    1488.17 0.0000e+00
       1925 23 May 2023 09:44:13     73.000     73.683    11.7001  32.253692     0.4565 5.3345e-02    177.675     62.535     73.000    27.7527    21.0202    1488.34 0.0000e+00
       1943 23 May 2023 09:44:18     74.000     74.693    11.7875  32.387680     0.4430 5.3350e-02    151.525     53.764     74.000    27.8144    21.0528    1488.74 0.0000e+00
       1963 23 May 2023 09:44:22     75.000     75.702    12.1386  32.815105     0.4189 5.3338e-02    117.858     42.043     75.000    27.9567    21.1011    1490.15 0.0000e+00
       1983 23 May 2023 09:44:27     76.000     76.712    12.3721  33.114566     0.4252 5.3377e-02     89.555     32.164     76.000    28.0638    21.1420    1491.10 0.0000e+00
       2004 23 May 2023 09:44:33     77.000     77.722    12.6829  33.496265     0.4267 5.3361e-02     55.649     20.073     77.000    28.1885    21.1817    1492.33 0.0000e+00
       2025 23 May 2023 09:44:38     78.000     78.731    12.8368  33.657805     0.4361 5.3362e-02     47.010     17.004     78.000    28.2238    21.1805    1492.92 0.0000e+00
       2046 23 May 2023 09:44:43     79.000     79.741    12.9732  33.850359     0.4317 5.3372e-02     28.944     10.526     79.000    28.3003    21.2142    1493.49 0.0000e+00
       2067 23 May 2023 09:44:49     80.000     80.751    13.1795  34.092739     0.4355 5.3346e-02     17.393      6.329     80.000    28.3702    21.2293    1494.29 0.0000e+00
       2088 23 May 2023 09:44:54     81.000     81.760    13.1957  34.109207     0.4413 5.3362e-02     18.126      6.601     81.000    28.3730    21.2284    1494.36 0.0000e+00
       2109 23 May 2023 09:44:59     82.000     82.770    13.2380  34.173746     0.4427 5.3370e-02     13.405      4.887     82.000    28.4006    21.2416    1494.56 0.0000e+00
       2132 23 May 2023 09:45:05     83.000     83.779    13.2700  34.214209     0.4490 5.3332e-02     11.976      4.368     83.000    28.4137    21.2456    1494.70 0.0000e+00
       2156 23 May 2023 09:45:11     84.000     84.789    13.2875  34.241771     0.4496 5.3353e-02     10.886      3.971     84.000    28.4256    21.2515    1494.79 0.0000e+00
       2181 23 May 2023 09:45:17     85.000     85.798    13.2956  34.251497     0.4513 5.3344e-02     10.586      3.862     85.000    28.4282    21.2519    1494.83 0.0000e+00
       2203 23 May 2023 09:45:23     86.000     86.808    13.3068  34.278302     0.4510 5.3372e-02      8.520      3.111     86.000    28.4441    21.2621    1494.91 0.0000e+00
       2225 23 May 2023 09:45:28     87.000     87.818    13.3296  34.325053     0.4519 5.3344e-02      6.632      2.422     87.000    28.4698    21.2775    1495.03 0.0000e+00
       2247 23 May 2023 09:45:34     88.000     88.827    13.3380  34.341849     0.4574 5.3355e-02      6.097      2.227     88.000    28.4786    21.2828    1495.08 0.0000e+00
       2270 23 May 2023 09:45:39     89.000     89.837    13.3434  34.353347     0.4608 5.3349e-02      5.790      2.115     89.000    28.4848    21.2864    1495.13 0.0000e+00
       2291 23 May 2023 09:45:45     90.000     90.847    13.3453  34.357408     0.4593 5.3352e-02      5.548      2.027     90.000    28.4868    21.2876    1495.15 0.0000e+00
       2311 23 May 2023 09:45:50     91.000     91.856    13.3463  34.359739     0.4574 5.3351e-02      5.499      2.009     91.000    28.4878    21.2882    1495.17 0.0000e+00
       2333 23 May 2023 09:45:55     92.000     92.866    13.3468  34.360830     0.4575 5.3343e-02      5.464      1.996     92.000    28.4881    21.2884    1495.19 0.0000e+00
