       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
          1 25 May 2023 10:27:57      0.121      0.122    12.7886   0.001152     0.0384 1.4571e+03    334.642    101.173      0.121     0.0067    -0.5894    1457.99 0.0000e+00
          2 25 May 2023 10:27:59      0.122      0.123    12.7891   0.001176     0.0433 6.4556e+02    334.741    101.204      0.122     0.0068    -0.5895    1457.99 0.0000e+00
          3 25 May 2023 10:27:59      0.122      0.123    12.7897   0.001201     0.0404 3.2670e+02    334.773    101.215      0.122     0.0068    -0.5895    1457.99 0.0000e+00
          4 25 May 2023 10:27:59      0.123      0.124    12.7903   0.001224     0.0394 3.1128e+02    334.756    101.211      0.123     0.0068    -0.5896    1457.99 0.0000e+00
          5 25 May 2023 10:27:59      0.123      0.124    12.7909   0.001239     0.0404 3.1782e+02    334.812    101.228      0.123     0.0068    -0.5897    1458.00 0.0000e+00
          6 25 May 2023 10:27:59      0.123      0.125    12.7914   0.001250     0.0354 7.9814e+02    334.788    101.221      0.123     0.0068    -0.5897    1458.00 0.0000e+00
          7 25 May 2023 10:28:00      0.124      0.125    12.7919   0.001261     0.0493 1.7289e+03    334.496    101.133      0.124     0.0068    -0.5898    1458.00 0.0000e+00
          8 25 May 2023 10:28:00      0.124      0.125    12.7924   0.001276     0.0354 1.7571e+03    334.688    101.192      0.124     0.0068    -0.5898    1458.00 0.0000e+00
          9 25 May 2023 10:28:00      0.125      0.126    12.7927   0.001291     0.0205 1.7414e+03    334.620    101.172      0.125     0.0068    -0.5899    1458.00 0.0000e+00
         10 25 May 2023 10:28:00      0.125      0.126    12.7931   0.001301     0.0205 1.5847e+03    334.690    101.193      0.125     0.0068    -0.5899    1458.00 0.0000e+00
         11 25 May 2023 10:28:00      0.125      0.127    12.7935   0.001306     0.0086 1.5353e+03    334.599    101.166      0.125     0.0068    -0.5900    1458.01 0.0000e+00
         12 25 May 2023 10:28:01      0.126      0.127    12.7938   0.001314     0.0225 1.7752e+03    334.565    101.156      0.126     0.0068    -0.5900    1458.01 0.0000e+00
         13 25 May 2023 10:28:01      0.126      0.128    12.7943   0.001328     0.0364 1.8034e+03    334.562    101.156      0.126     0.0068    -0.5901    1458.01 0.0000e+00
         14 25 May 2023 10:28:01      0.127      0.128    12.7948   0.001340     0.0374 3.2033e+02    334.490    101.134      0.127     0.0068    -0.5901    1458.01 0.0000e+00
         15 25 May 2023 10:28:01      0.127      0.128    12.7954   0.001345     0.0225 3.5571e+02    334.477    101.131      0.127     0.0068    -0.5902    1458.01 0.0000e+00
         16 25 May 2023 10:28:01      0.128      0.129    12.7961   0.001350     0.0205 3.0528e+02    334.263    101.067      0.128     0.0068    -0.5903    1458.02 0.0000e+00
         17 25 May 2023 10:28:01      0.128      0.129    12.7968   0.001369     0.0245 2.7306e+02    334.262    101.067      0.128     0.0068    -0.5904    1458.02 0.0000e+00
         18 25 May 2023 10:28:03      0.128      0.129    12.7974   0.001402     0.0175 2.6674e+02    334.513    101.143      0.128     0.0068    -0.5904    1458.02 0.0000e+00
         19 25 May 2023 10:28:03      0.128      0.130    12.7980   0.001430     0.0245 1.6001e+03    334.458    101.127      0.128     0.0068    -0.5905    1458.02 0.0000e+00
         20 25 May 2023 10:28:03      0.128      0.130    12.7985   0.001446     0.0225 1.7202e+03    334.429    101.119      0.128     0.0068    -0.5906    1458.03 0.0000e+00
         21 25 May 2023 10:28:03      0.129      0.130    12.7990   0.001455     0.0205 1.6926e+03    334.505    101.142      0.129     0.0068    -0.5906    1458.03 0.0000e+00
         22 25 May 2023 10:28:03      0.129      0.130    12.7994   0.001467     0.0195 1.6848e+03    334.484    101.136      0.129     0.0068    -0.5907    1458.03 0.0000e+00
         23 25 May 2023 10:28:04      0.129      0.130    12.7997   0.001484    -0.0003 1.7274e+03    334.752    101.218      0.129     0.0068    -0.5907    1458.03 0.0000e+00
         24 25 May 2023 10:28:04      0.129      0.131    12.7999   0.001497     0.0245 1.7330e+03    334.635    101.183      0.129     0.0068    -0.5907    1458.03 0.0000e+00
         25 25 May 2023 10:28:04      0.130      0.131    12.8002   0.001498     0.0175 1.7410e+03    334.583    101.168      0.130     0.0068    -0.5907    1458.03 0.0000e+00
         26 25 May 2023 10:28:04      0.130      0.131    12.8004   0.001496     0.0275 1.7559e+03    334.576    101.166      0.130     0.0068    -0.5908    1458.03 0.0000e+00
         27 25 May 2023 10:28:04      0.130      0.132    12.8006   0.001498     0.0275 1.7483e+03    334.453    101.129      0.130     0.0068    -0.5908    1458.03 0.0000e+00
         28 25 May 2023 10:28:05      0.131      0.132    12.8008   0.001517     0.0156 1.7410e+03    334.348    101.098      0.131     0.0069    -0.5908    1458.03 0.0000e+00
         29 25 May 2023 10:28:05      0.131      0.132    12.8010   0.001556     0.0314 4.2745e+02    334.569    101.166      0.131     0.0069    -0.5908    1458.03 0.0000e+00
         30 25 May 2023 10:28:05      0.131      0.132    12.8012   0.001623     0.0314 4.1365e+02    334.474    101.137      0.131     0.0069    -0.5908    1458.03 0.0000e+00
         31 25 May 2023 10:28:05      0.131      0.132    12.8013   0.001741     0.0314 3.2124e+02    334.689    101.202      0.131     0.0069    -0.5908    1458.04 0.0000e+00
         32 25 May 2023 10:28:05      0.131      0.132    12.8015   0.001942     0.0215 3.2075e+02    334.444    101.128      0.131     0.0070    -0.5908    1458.04 0.0000e+00
         33 25 May 2023 10:28:07      0.131      0.132    12.8017   0.002272     0.0205 1.4631e+03    334.633    101.186      0.131     0.0071    -0.5907    1458.04 0.0000e+00
         34 25 May 2023 10:28:07      0.132      0.133    12.8019   0.002815     0.0304 1.3729e+03    334.452    101.231      0.132     0.0073    -0.5906    1458.04 0.0000e+00
         35 25 May 2023 10:28:07      0.132      0.133    12.8021   0.003720     0.0195 1.6032e+03    290.979    101.271      0.132     0.0077    -0.5903    1458.04 0.0000e+00
         36 25 May 2023 10:28:07      0.133      0.134    12.8023   0.005235     0.0235 1.6738e+03    277.920    101.327      0.133     0.0084    -0.5898    1458.04 0.0000e+00
         37 25 May 2023 10:28:07      0.134      0.135    12.8024   0.007762     0.0285 1.6212e+03    280.098    101.380      0.134     0.0096    -0.5889    1458.04 0.0000e+00
         38 25 May 2023 10:28:07      0.135      0.136    12.8025   0.011979     0.0195 1.3589e+03    281.831    101.574      0.135     0.0117    -0.5872    1458.05 0.0000e+00
