       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
        158 25 May 2023 10:28:37      1.000      1.009    10.8341  37.109510     0.0207 1.2529e+03    268.860     95.967      1.000    33.2265    25.4240    1490.67 0.0000e+00
        379 25 May 2023 10:29:33      2.000      2.018    10.7815  36.993612     0.0083 9.5599e+02    297.814    106.076      2.000    33.1579    25.3798    1490.41 0.0000e+00
        395 25 May 2023 10:29:37      3.000      3.028    10.7498  36.972463     0.2011 7.0712e+02    297.373    105.906      3.000    33.1651    25.3910    1490.33 0.0000e+00
        414 25 May 2023 10:29:41      4.000      4.037    10.7443  36.971391     0.4854 5.5172e+02    297.030    105.786      4.000    33.1686    25.3947    1490.33 0.0000e+00
        434 25 May 2023 10:29:46      5.000      5.046    10.7463  36.972005     0.5762 4.1123e+02    296.629    105.640      5.000    33.1670    25.3931    1490.35 0.0000e+00
        454 25 May 2023 10:29:51      6.000      6.055    10.7437  36.971274     0.7100 3.3067e+02    296.391    105.553      6.000    33.1682    25.3944    1490.36 0.0000e+00
        473 25 May 2023 10:29:56      7.000      7.064    10.7430  36.971400     0.7670 2.5443e+02    296.040    105.428      7.000    33.1685    25.3948    1490.37 0.0000e+00
        493 25 May 2023 10:30:01      8.000      8.074    10.7432  36.972867     0.7418 2.0267e+02    295.865    105.365      8.000    33.1693    25.3954    1490.39 0.0000e+00
        513 25 May 2023 10:30:06      9.000      9.083    10.7423  36.972005     0.8036 1.6134e+02    295.839    105.349      9.000    33.1688    25.3952    1490.41 0.0000e+00
        533 25 May 2023 10:30:11     10.000     10.092    10.7397  36.970778     0.8062 1.3110e+02    296.006    105.429     10.000    33.1696    25.3963    1490.41 0.0000e+00
        553 25 May 2023 10:30:16     11.000     11.101    10.7495  36.979742     0.7350 1.0752e+02    296.468    105.597     11.000    33.1691    25.3942    1490.46 0.0000e+00
        574 25 May 2023 10:30:21     12.000     12.111    10.7517  36.980587     0.7433 8.7702e+01    296.432    105.592     12.000    33.1675    25.3925    1490.49 0.0000e+00
        594 25 May 2023 10:30:26     13.000     13.120    10.7546  36.982374     0.7525 7.1330e+01    296.887    105.748     13.000    33.1663    25.3911    1490.51 0.0000e+00
        614 25 May 2023 10:30:31     14.000     14.129    10.7508  36.981258     0.7842 5.8395e+01    296.578    105.635     14.000    33.1682    25.3932    1490.51 0.0000e+00
        634 25 May 2023 10:30:36     15.000     15.138    10.7495  36.982689     0.7367 4.7810e+01    296.854    105.734     15.000    33.1704    25.3951    1490.53 0.0000e+00
        653 25 May 2023 10:30:41     16.000     16.148    10.7502  36.982522     0.8799 3.9215e+01    295.774    105.351     16.000    33.1691    25.3940    1490.55 0.0000e+00
        672 25 May 2023 10:30:46     17.000     17.157    10.7512  36.982855     0.6992 3.2102e+01    293.909    104.687     17.000    33.1681    25.3930    1490.57 0.0000e+00
        691 25 May 2023 10:30:51     18.000     18.166    10.7513  36.982714     0.7410 2.6269e+01    292.918    104.330     18.000    33.1674    25.3925    1490.58 0.0000e+00
        711 25 May 2023 10:30:55     19.000     19.175    10.7497  36.982425     0.7792 2.1463e+01    292.980    104.354     19.000    33.1681    25.3933    1490.60 0.0000e+00
