Secchi Depth (cm) = 0410
Forel Ule Scale = 15
pH Colour Scale = 99
SmartSecchi S/N = A0000001
Latitude (degs N) = 56.45526
Longitude (degs E) = -5.18813
Date = 2023-05-23
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, 415nm, 445nm, 480nm, 515nm, 555nm, 590nm, 630nm, 680nm, Clear, NIR, Resistance 10KTHERM, Temp (deg C) 10KTHERM, Temp (deg C) TMP117
10:51:54, 1015.10, 12.21, 107, 144, 180, 222, 228, 300, 440, 559, 1856, 1200, 18042.76, 12.29, 11.51
10:51:54, 1015.00, 12.22, 107, 144, 179, 222, 227, 298, 438, 555, 1838, 1184, 18073.54, 12.25, 11.51
10:51:54, 1015.10, 12.23, 106, 143, 178, 220, 225, 295, 432, 548, 1806, 1161, 18058.15, 12.27, 11.55
10:51:55, 1015.00, 12.23, 103, 139, 174, 214, 223, 292, 429, 544, 1789, 1156, 18058.15, 12.27, 11.55
10:51:55, 1015.10, 12.24, 103, 140, 175, 216, 223, 293, 427, 540, 1772, 1131, 18058.15, 12.27, 11.55
10:51:56, 1015.10, 12.24, 104, 141, 176, 217, 223, 293, 426, 540, 1770, 1127, 18073.54, 12.25, 11.59
10:51:56, 1015.20, 12.24, 103, 141, 175, 216, 221, 291, 423, 537, 1761, 1124, 18088.96, 12.23, 11.59
10:51:57, 1015.20, 12.24, 103, 140, 174, 215, 222, 292, 426, 541, 1769, 1133, 18058.15, 12.27, 11.61
10:51:57, 1015.20, 12.24, 104, 141, 176, 218, 224, 296, 430, 543, 1769, 1118, 18058.15, 12.27, 11.61
10:51:57, 1015.10, 12.24, 104, 141, 176, 217, 221, 292, 424, 538, 1755, 1118, 18073.54, 12.25, 11.61
10:51:58, 1015.20, 12.24, 103, 140, 174, 215, 220, 290, 423, 537, 1755, 1121, 18042.76, 12.29, 11.63
10:51:58, 1015.00, 12.24, 103, 139, 173, 214, 220, 290, 424, 537, 1756, 1127, 18042.76, 12.29, 11.63
10:51:59, 1015.30, 12.24, 104, 140, 175, 217, 223, 294, 429, 543, 1767, 1125, 18104.39, 12.21, 11.62
10:51:59, 1015.10, 12.24, 105, 142, 177, 218, 223, 296, 431, 548, 1774, 1132, 18073.54, 12.25, 11.62
10:51:59, 1015.20, 12.23, 104, 141, 176, 217, 222, 294, 431, 549, 1785, 1149, 18042.76, 12.29, 11.61
10:52:00, 1015.40, 12.24, 104, 140, 175, 215, 214, 287, 424, 546, 1773, 1167, 18058.15, 12.27, 11.61
10:52:00, 1015.90, 12.28, 239, 278, 383, 406, 500, 578, 773, 965, 4666, 2986, 18042.76, 12.29, 11.61
10:52:01, 1016.60, 12.30, 641, 907, 1194, 1432, 2215, 2436, 2765, 3139, 12512, 5355, 18073.54, 12.25, 11.59
10:52:01, 1016.70, 12.29, 927, 1295, 1762, 2058, 2199, 2378, 2775, 3011, 10665, 4415, 18027.40, 12.30, 11.59
10:52:02, 1016.30, 12.28, 905, 1294, 1739, 2061, 2051, 2267, 2544, 2893, 12561, 4956, 18058.15, 12.27, 11.56
10:52:02, 1017.10, 12.33, 672, 946, 1255, 1487, 2166, 2273, 2668, 2939, 10357, 4481, 18058.15, 12.27, 11.56
10:52:02, 1017.60, 12.35, 1541, 2188, 2962, 3452, 3933, 4203, 4856, 5379, 19446, 7649, 18073.54, 12.25, 11.56
10:52:03, 1017.50, 12.35, 1603, 2314, 3097, 3652, 3772, 4078, 4654, 5283, 20502, 8071, 18058.15, 12.27, 11.54
10:52:03, 1017.60, 12.35, 1337, 1912, 2572, 2992, 3269, 3529, 3976, 4635, 17655, 7159, 18058.15, 12.27, 11.54
10:52:04, 1017.30, 12.35, 1255, 1816, 2456, 2818, 3055, 3160, 3758, 4195, 14593, 6032, 18073.54, 12.25, 11.56
10:52:04, 1017.50, 12.36, 1250, 1872, 2493, 2940, 3085, 3215, 3857, 4247, 13044, 5318, 18042.76, 12.29, 11.56
10:52:04, 1018.00, 12.36, 1280, 1884, 2520, 2957, 3420, 3593, 4224, 4710, 15111, 6129, 18042.76, 12.29, 11.56
10:52:05, 1017.70, 12.36, 1323, 1929, 2594, 3032, 3443, 3659, 4259, 4748, 15746, 6373, 18058.15, 12.27, 11.55
10:52:05, 1017.80, 12.36, 1394, 2031, 2726, 3178, 3423, 3654, 4199, 4770, 16351, 6692, 18073.54, 12.25, 11.55
10:52:06, 1017.90, 12.37, 1334, 1949, 2599, 3053, 3510, 3730, 4304, 4873, 18624, 7511, 18088.96, 12.23, 11.57
10:52:06, 1018.00, 12.37, 1355, 1995, 2664, 3120, 3334, 3589, 4081, 4671, 19857, 7859, 18088.96, 12.23, 11.57
10:52:07, 1018.00, 12.37, 1285, 1899, 2541, 3011, 3020, 3249, 3753, 4173, 19249, 7515, 18058.15, 12.27, 11.58
10:52:07, 1017.90, 12.37, 1295, 1927, 2574, 3054, 3406, 3643, 4220, 4670, 20293, 7821, 18073.54, 12.25, 11.58
10:52:07, 1017.80, 12.36, 1258, 1894, 2527, 2986, 3350, 3569, 4153, 4613, 20496, 7960, 18073.54, 12.25, 11.58
10:52:08, 1018.00, 12.36, 1304, 1960, 2623, 3094, 3172, 3376, 3939, 4366, 19949, 7843, 18012.05, 12.32, 11.59
10:52:08, 1018.00, 12.36, 1290, 1932, 2594, 3054, 3323, 3538, 4127, 4540, 19915, 7800, 18104.39, 12.21, 11.59
10:52:09, 1018.00, 12.37, 1241, 1863, 2496, 2946, 3291, 3503, 4093, 4492, 19693, 7732, 18104.39, 12.21, 11.59
10:52:09, 1019.90, 12.38, 1274, 1913, 2567, 3027, 3188, 3390, 3967, 4365, 19596, 7701, 18088.96, 12.23, 11.59
10:52:09, 1019.70, 12.44, 1257, 1889, 2527, 2992, 3246, 3467, 4033, 4448, 20125, 7832, 18058.15, 12.27, 11.59
10:52:10, 1021.90, 12.53, 1217, 1822, 2432, 2884, 3034, 3255, 3773, 4186, 19553, 7561, 18042.76, 12.29, 12.41
10:52:10, 1025.90, 12.60, 940, 1454, 1949, 2346, 2836, 3008, 3501, 3899, 17262, 4465, 18073.54, 12.25, 12.41
10:52:11, 1027.50, 12.67, 971, 1454, 2010, 2382, 2585, 2746, 3144, 3545, 14606, 3389, 18073.54, 12.25, 13.00
10:52:11, 1030.20, 12.73, 905, 1347, 1863, 2202, 2387, 2543, 2888, 3294, 13232, 3223, 18073.54, 12.25, 13.00
10:52:12, 1040.40, 12.81, 861, 1324, 1901, 2265, 2384, 2493, 2842, 3158, 10456, 1611, 18073.54, 12.25, 13.00
10:52:12, 1040.40, 12.85, 716, 1120, 1641, 1970, 2357, 2451, 2798, 3091, 9956, 1412, 18058.15, 12.27, 13.26
10:52:12, 1038.60, 12.89, 702, 1084, 1571, 1878, 2085, 2181, 2492, 2781, 8937, 1408, 18104.39, 12.21, 13.26
10:52:13, 1038.50, 12.93, 779, 1214, 1741, 2084, 2447, 2553, 2930, 3250, 9646, 1509, 18088.96, 12.23, 13.33
10:52:13, 1038.90, 12.95, 698, 1091, 1575, 1894, 2275, 2360, 2726, 3005, 7746, 1117, 18104.39, 12.21, 13.33
10:52:14, 1038.70, 12.98, 774, 1216, 1756, 2119, 2314, 2387, 2804, 3050, 7197, 1060, 18119.85, 12.20, 13.37
10:52:14, 1040.20, 13.00, 765, 1207, 1728, 2104, 2393, 2472, 2917, 3134, 6630, 891, 18104.39, 12.21, 13.37
10:52:14, 1039.70, 13.02, 775, 1234, 1783, 2192, 2431, 2547, 2963, 3198, 6328, 789, 18088.96, 12.23, 13.37
10:52:15, 1037.00, 13.03, 824, 1298, 1853, 2280, 2600, 2743, 3186, 3444, 6513, 846, 18058.15, 12.27, 13.37
10:52:15, 1037.80, 13.04, 881, 1373, 1953, 2397, 2668, 2824, 3271, 3526, 6730, 840, 18104.39, 12.21, 13.37
10:52:16, 1037.90, 13.05, 864, 1351, 1937, 2387, 2817, 2989, 3455, 3698, 7357, 861, 18088.96, 12.23, 13.38
10:52:16, 1036.50, 13.06, 919, 1417, 2020, 2443, 2793, 2974, 3409, 3712, 7630, 972, 18088.96, 12.23, 13.38
10:52:17, 1036.60, 13.07, 960, 1477, 2112, 2568, 2885, 3063, 3507, 3817, 8466, 1110, 18104.39, 12.21, 13.38
10:52:17, 1037.30, 13.08, 969, 1488, 2135, 2596, 2887, 3072, 3514, 3811, 8409, 1094, 18104.39, 12.21, 13.38
10:52:17, 1038.50, 13.09, 945, 1458, 2099, 2528, 2918, 3093, 3543, 3829, 8544, 1036, 18119.85, 12.20, 13.38
10:52:18, 1036.10, 13.10, 956, 1476, 2127, 2595, 2959, 3131, 3612, 3901, 8972, 1206, 18088.96, 12.23, 13.38
10:52:18, 1036.70, 13.11, 1003, 1538, 2188, 2654, 3020, 3196, 3673, 3972, 9417, 1247, 18088.96, 12.23, 13.38
10:52:19, 1038.80, 13.11, 996, 1545, 2236, 2719, 2926, 3088, 3546, 3827, 9154, 1159, 18104.39, 12.21, 13.38
10:52:19, 1038.70, 13.12, 967, 1489, 2147, 2613, 2982, 3157, 3616, 3893, 9726, 1276, 18104.39, 12.21, 13.38
10:52:19, 1039.50, 13.13, 960, 1509, 2178, 2622, 2883, 3051, 3485, 3763, 9281, 1191, 18104.39, 12.21, 13.38
10:52:20, 1038.90, 13.13, 931, 1438, 2088, 2539, 2987, 3129, 3593, 3897, 10416, 1407, 18150.79, 12.16, 13.38
10:52:20, 1038.80, 13.14, 970, 1493, 2163, 2628, 2876, 3042, 3498, 3751, 9782, 1345, 18088.96, 12.23, 13.38
10:52:21, 1038.10, 13.15, 1001, 1550, 2241, 2711, 2983, 3148, 3616, 3885, 10718, 1477, 18088.96, 12.23, 13.38
10:52:21, 1039.40, 13.15, 936, 1451, 2093, 2543, 2920, 3072, 3545, 3799, 10808, 1493, 18135.31, 12.18, 13.38
10:52:22, 1040.10, 13.15, 905, 1408, 2044, 2493, 2827, 2961, 3425, 3656, 10310, 1409, 18119.85, 12.20, 13.38
10:52:22, 1040.00, 13.16, 957, 1496, 2167, 2638, 2788, 2919, 3388, 3613, 10017, 1391, 18104.39, 12.21, 13.38
10:52:22, 1040.70, 13.17, 938, 1466, 2139, 2618, 2852, 2979, 3440, 3681, 10349, 1374, 18088.96, 12.23, 13.38
10:52:23, 1040.20, 13.18, 955, 1486, 2155, 2634, 2858, 3010, 3469, 3713, 10008, 1354, 18104.39, 12.21, 13.38
10:52:23, 1042.70, 13.18, 924, 1445, 2118, 2584, 2911, 3060, 3501, 3748, 9364, 1077, 18104.39, 12.21, 13.38
