Secchi Depth (cm) = 0670
Forel Ule Scale = 10
pH Colour Scale = 99
SmartSecchi S/N = A0000001
Latitude (degs N) = 56.50414
Longitude (degs E) = -5.46452
Date = 2023-05-25
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, 415nm, 445nm, 480nm, 515nm, 555nm, 590nm, 630nm, 680nm, Clear, NIR, Resistance 10KTHERM, Temp (deg C) 10KTHERM, Temp (deg C) TMP117
09:40:31, 1023.60, 16.38, 209, 227, 320, 323, 333, 353, 353, 389, 2936, 1425, 14333.97, 17.11, 14.59
09:40:31, 1023.70, 16.38, 201, 218, 308, 311, 377, 407, 403, 456, 3142, 1451, 14368.75, 17.06, 14.59
09:40:31, 1021.30, 16.23, 743, 1083, 1296, 1420, 1414, 1324, 1514, 1512, 5809, 1685, 14357.14, 17.08, 14.59
09:40:32, 1023.40, 16.38, 1199, 1291, 1673, 1853, 2184, 2784, 2796, 3471, 22154, 9176, 14345.55, 17.09, 14.59
09:40:32, 1023.40, 16.39, 1897, 1563, 2385, 2182, 3143, 3655, 3627, 4708, 36000, 23444, 14357.14, 17.08, 14.59
09:40:33, 1023.50, 16.39, 2764, 2159, 4365, 2973, 1854, 2203, 3033, 3827, 16256, 7592, 14368.75, 17.06, 14.56
09:40:33, 1023.50, 16.40, 153, 180, 218, 246, 251, 346, 607, 881, 2235, 1117, 14333.97, 17.11, 14.56
09:40:34, 1023.70, 16.40, 895, 1279, 1691, 1898, 5457, 3848, 8699, 5588, 36000, 32474, 14368.75, 17.06, 14.56
09:40:34, 1023.50, 16.40, 1584, 2695, 3347, 4835, 4587, 3817, 7635, 4738, 36000, 20570, 14345.55, 17.09, 14.53
09:40:34, 1023.70, 16.40, 1713, 2668, 2955, 6203, 4205, 4542, 9884, 4564, 35944, 13405, 14368.75, 17.06, 14.53
09:40:35, 1023.90, 16.40, 2024, 2359, 2656, 5619, 3836, 7870, 8979, 5631, 26212, 6756, 14357.14, 17.08, 14.65
09:40:35, 1023.90, 16.40, 3113, 2180, 3083, 4051, 3133, 6389, 4335, 5040, 12694, 4269, 14333.97, 17.11, 14.65
09:40:36, 1023.90, 16.40, 3163, 2146, 3178, 3738, 2952, 5299, 3775, 4551, 10866, 3782, 14380.36, 17.04, 14.65
09:40:36, 1023.60, 16.39, 4235, 2353, 4291, 3839, 3880, 6763, 3710, 5845, 9305, 3140, 14357.14, 17.08, 14.77
09:40:36, 1023.70, 16.37, 5955, 3013, 7853, 4192, 6135, 4577, 4640, 6080, 7357, 2465, 14345.55, 17.09, 14.77
09:40:37, 1023.70, 16.40, 819, 1072, 1348, 1389, 1462, 1486, 1613, 1869, 4718, 1089, 14357.14, 17.08, 14.78
09:40:37, 1023.80, 16.40, 799, 1076, 1336, 1406, 1604, 1644, 1793, 2094, 4844, 1165, 14368.75, 17.06, 14.78
09:40:38, 1024.10, 16.40, 809, 1085, 1347, 1419, 1546, 1574, 1683, 2017, 4880, 1199, 14380.36, 17.04, 14.72
09:40:38, 1024.60, 16.40, 770, 1024, 1283, 1329, 1245, 1261, 1342, 1575, 3945, 903, 14368.75, 17.06, 14.72
09:40:39, 1027.90, 16.27, 781, 1077, 1348, 1412, 1437, 1454, 1588, 1821, 4406, 1033, 14380.36, 17.04, 14.72
09:40:39, 1031.60, 16.02, 708, 926, 1173, 1215, 1252, 1244, 1346, 1498, 4658, 676, 14357.14, 17.08, 13.51
09:40:39, 1033.50, 15.80, 662, 871, 1079, 1135, 1095, 1103, 1147, 1302, 4693, 595, 14380.36, 17.04, 13.51
09:40:40, 1034.40, 15.62, 693, 933, 1167, 1242, 1159, 1160, 1212, 1388, 4764, 596, 14333.97, 17.11, 12.19
09:40:40, 1035.10, 15.44, 677, 914, 1149, 1224, 1274, 1278, 1356, 1534, 4611, 571, 14380.36, 17.04, 12.19
09:40:41, 1034.70, 15.31, 644, 851, 1080, 1126, 1276, 1267, 1358, 1534, 4276, 534, 14380.36, 17.04, 12.19
09:40:41, 1031.90, 15.20, 642, 838, 1066, 1104, 1160, 1149, 1227, 1399, 3969, 554, 14391.99, 17.03, 11.75
