Secchi Depth (cm) = 0845
Forel Ule Scale = 10
pH Colour Scale = 99
SmartSecchi S/N = A004
Latitude (degs N) = 56.53913
Longitude (degs E) = -5.40336
Date = 2023-05-25
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, 415nm, 445nm, 480nm, 515nm, 555nm, 590nm, 630nm, 680nm, Clear, NIR, Resistance 10KTHERM, Temp (deg C) 10KTHERM, Temp (deg C) TMP117
10:25:44, 1020.90, 14.19, 2219, 2519, 4015, 3538, 3979, 3643, 4172, 4714, 18663, 7897, 16475.15, 14.17, 11.84
10:25:44, 1020.90, 14.20, 1509, 1845, 2755, 2520, 2763, 2593, 3002, 3319, 17003, 6721, 16434.11, 14.22, 11.84
10:25:44, 1020.80, 14.20, 1405, 1742, 2581, 2360, 2752, 2573, 2985, 3296, 17162, 6800, 16434.11, 14.22, 11.84
10:25:45, 1020.80, 14.21, 1409, 1747, 2592, 2369, 2763, 2581, 2998, 3311, 17270, 6853, 16434.11, 14.22, 11.84
10:25:45, 1020.90, 14.21, 1410, 1747, 2592, 2369, 2761, 2580, 2995, 3309, 17257, 6841, 16461.46, 14.19, 11.84
10:25:46, 1020.90, 14.21, 1408, 1746, 2592, 2368, 2765, 2581, 2999, 3310, 17278, 6864, 16447.78, 14.21, 11.84
10:25:46, 1020.70, 14.20, 1410, 1747, 2593, 2369, 2768, 2579, 3003, 3308, 17309, 6917, 16434.11, 14.22, 11.84
10:25:46, 1020.90, 14.21, 1408, 1745, 2594, 2367, 2779, 2582, 3014, 3314, 17320, 6965, 16475.15, 14.17, 11.86
10:25:47, 1020.90, 14.21, 1428, 1762, 2628, 2394, 2791, 2593, 3026, 3331, 17362, 6980, 16447.78, 14.21, 11.86
10:25:47, 1020.90, 14.21, 1412, 1749, 2599, 2372, 2771, 2582, 3005, 3315, 17326, 6917, 16434.11, 14.22, 11.86
10:25:48, 1020.90, 14.22, 1410, 1747, 2595, 2370, 2768, 2578, 3002, 3307, 17302, 6920, 16447.78, 14.21, 11.88
10:25:48, 1020.80, 14.22, 1409, 1746, 2595, 2369, 2780, 2586, 3018, 3319, 17320, 6964, 16461.46, 14.19, 11.88
10:25:49, 1020.70, 14.22, 1425, 1760, 2625, 2390, 2812, 2608, 3050, 3354, 17394, 7011, 16434.11, 14.22, 11.89
10:25:49, 1021.00, 14.22, 1416, 1754, 2610, 2380, 2786, 2589, 3026, 3331, 17393, 6971, 16420.45, 14.24, 11.89
10:25:49, 1021.00, 14.23, 1418, 1757, 2613, 2383, 2788, 2594, 3026, 3340, 17407, 6945, 16434.11, 14.22, 11.89
10:25:50, 1020.80, 14.23, 1417, 1755, 2612, 2381, 2790, 2594, 3027, 3337, 17407, 6956, 16434.11, 14.22, 11.90
10:25:50, 1020.90, 14.23, 1419, 1755, 2614, 2383, 2798, 2598, 3038, 3341, 17370, 6990, 16447.78, 14.21, 11.90
10:25:51, 1020.70, 14.23, 1456, 1786, 2680, 2427, 2809, 2598, 3045, 3345, 17334, 7009, 16406.81, 14.26, 11.91
10:25:51, 1020.80, 14.23, 1412, 1751, 2602, 2373, 2776, 2577, 3014, 3316, 17195, 6906, 16475.15, 14.17, 11.91
10:25:51, 1021.00, 14.23, 1414, 1754, 2603, 2377, 2778, 2584, 3013, 3326, 17148, 6848, 16475.15, 14.17, 11.91
10:25:52, 1020.90, 14.23, 1415, 1755, 2605, 2378, 2776, 2582, 3012, 3323, 17129, 6841, 16434.11, 14.22, 11.90
10:25:52, 1020.80, 14.23, 1411, 1750, 2598, 2371, 2773, 2571, 3008, 3308, 17125, 6899, 16406.81, 14.26, 11.90
10:25:53, 1020.90, 14.23, 1439, 1773, 2648, 2404, 2864, 2632, 3089, 3389, 17174, 7011, 16447.78, 14.21, 11.90
10:25:53, 1020.90, 14.23, 1413, 1749, 2601, 2369, 2780, 2561, 3014, 3293, 17053, 6937, 16447.78, 14.21, 11.90
