Secchi Depth (cm) = 9999
Forel Ule Scale = 99
pH Colour Scale = 99
SmartSecchi S/N = A0000001
Latitude (degs N) = 56.52294
Longitude (degs E) = -5.38917
Date = 2023-05-25
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, 415nm, 445nm, 480nm, 515nm, 555nm, 590nm, 630nm, 680nm, Clear, NIR, Resistance 10KTHERM, Temp (deg C) 10KTHERM, Temp (deg C) TMP117
11:04:48, 1023.00, 12.54, 57, 84, 101, 112, 104, 110, 129, 149, 738, 381, 18104.39, 12.21, 11.20
11:04:48, 1022.90, 12.55, 57, 83, 101, 112, 104, 109, 128, 148, 735, 377, 18104.39, 12.21, 11.23
11:04:48, 1023.10, 12.55, 57, 83, 100, 112, 103, 108, 127, 147, 729, 373, 18073.54, 12.25, 11.23
11:04:49, 1023.40, 12.56, 56, 82, 99, 109, 100, 105, 122, 141, 701, 354, 18135.31, 12.18, 11.23
11:04:49, 1023.30, 12.57, 50, 73, 88, 98, 108, 116, 137, 159, 678, 342, 18104.39, 12.21, 11.23
11:04:50, 1023.50, 12.58, 105, 150, 188, 260, 484, 518, 581, 712, 2369, 891, 18088.96, 12.23, 11.23
11:04:50, 1023.40, 12.58, 602, 879, 1074, 1155, 1302, 1338, 1565, 1663, 6564, 2240, 18104.39, 12.21, 11.77
11:04:51, 1023.40, 12.59, 704, 1047, 1283, 1399, 1525, 1569, 1693, 1927, 6868, 2494, 18073.54, 12.25, 11.77
11:04:51, 1023.10, 12.59, 869, 1210, 1488, 1505, 1425, 1328, 1542, 1526, 6368, 2039, 18104.39, 12.21, 11.81
11:04:51, 1023.10, 12.59, 674, 897, 1069, 1084, 1076, 1030, 1136, 1129, 5638, 1667, 18104.39, 12.21, 11.81
11:04:52, 1023.10, 12.60, 661, 910, 1098, 1124, 1173, 1156, 1279, 1351, 6281, 1879, 18058.15, 12.27, 11.93
11:04:52, 1023.30, 12.60, 670, 927, 1151, 1188, 1175, 1198, 1326, 1414, 5558, 1662, 18088.96, 12.23, 11.93
11:04:53, 1023.20, 12.61, 634, 862, 1100, 1162, 1218, 1250, 1395, 1476, 5594, 1684, 18058.15, 12.27, 11.93
11:04:53, 1023.20, 12.61, 714, 976, 1242, 1303, 1359, 1371, 1513, 1667, 6494, 1902, 18088.96, 12.23, 12.23
11:04:53, 1023.10, 12.61, 603, 835, 1051, 1096, 1172, 1207, 1377, 1542, 6019, 1948, 18088.96, 12.23, 12.23
11:04:54, 1023.10, 12.60, 690, 986, 1220, 1286, 1342, 1321, 1485, 1569, 6189, 1571, 18088.96, 12.23, 12.64
11:04:54, 1022.80, 12.60, 757, 1058, 1272, 1332, 1374, 1304, 1461, 1461, 6634, 1850, 18073.54, 12.25, 12.64
11:04:55, 1023.10, 12.61, 859, 1186, 1400, 1431, 1357, 1266, 1385, 1370, 6069, 1527, 18088.96, 12.23, 12.64
11:04:55, 1023.00, 12.61, 769, 1084, 1282, 1310, 1269, 1204, 1314, 1336, 6135, 1526, 18119.85, 12.20, 13.04
11:04:56, 1023.20, 12.62, 741, 1034, 1230, 1245, 1197, 1148, 1240, 1297, 6063, 1514, 18088.96, 12.23, 13.04
11:04:56, 1022.90, 12.60, 790, 1111, 1321, 1368, 1450, 1395, 1550, 1580, 7463, 2308, 18073.54, 12.25, 13.32
11:04:56, 1022.90, 12.61, 873, 1221, 1480, 1529, 1583, 1558, 1696, 1820, 8421, 2661, 18073.54, 12.25, 13.32
11:04:57, 1022.80, 12.60, 878, 1245, 1498, 1569, 1485, 1471, 1631, 1716, 8204, 2682, 18104.39, 12.21, 13.32
11:04:57, 1022.50, 12.59, 880, 1235, 1500, 1657, 2016, 2064, 2470, 2646, 10600, 3971, 18073.54, 12.25, 13.43
11:04:58, 1022.30, 12.59, 3221, 6344, 10464, 13360, 2160, 2200, 2720, 2831, 11110, 4223, 18073.54, 12.25, 13.43
11:04:58, 1022.20, 12.59, 920, 1292, 1607, 1817, 1773, 1894, 2171, 2412, 7803, 2465, 18058.15, 12.27, 13.38
11:04:59, 1022.20, 12.59, 941, 1289, 1619, 1784, 1816, 1965, 2169, 2484, 7703, 2411, 18058.15, 12.27, 13.38
11:04:59, 1022.10, 12.59, 949, 1293, 1629, 1781, 1791, 1917, 2103, 2401, 7426, 2236, 18088.96, 12.23, 13.34
11:04:59, 1022.30, 12.59, 6634, 12271, 15516, 24545, 2234, 2274, 2597, 3047, 8460, 2591, 18058.15, 12.27, 13.34
11:05:00, 1021.70, 12.56, 1295, 1890, 2394, 2623, 17050, 17344, 17910, 18125, 21655, 10943, 18027.40, 12.30, 13.34
11:05:00, 1021.20, 12.55, 12845, 20539, 29429, 35960, 36000, 36000, 36000, 36000, 36000, 34674, 18088.96, 12.23, 13.45
11:05:01, 1021.10, 12.55, 14856, 21483, 31461, 35384, 36000, 36000, 36000, 36000, 36000, 36000, 18042.76, 12.29, 13.45
11:05:01, 1021.20, 12.56, 14342, 21605, 31142, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 18073.54, 12.25, 14.29
11:05:01, 1021.40, 12.57, 13456, 22512, 30748, 36000, 36000, 36000, 36000, 36000, 36000, 18392, 18012.05, 12.32, 14.29
11:05:02, 1021.40, 12.59, 13276, 21964, 28454, 36000, 36000, 36000, 36000, 36000, 36000, 31792, 18058.15, 12.27, 14.29
11:05:02, 1022.20, 12.63, 15056, 21138, 34364, 35543, 35639, 35985, 36000, 36000, 36000, 18083, 18058.15, 12.27, 14.90
11:05:03, 1022.40, 12.66, 8949, 15902, 16083, 22638, 19361, 20412, 32417, 27653, 36000, 35643, 18073.54, 12.25, 14.90
11:05:03, 1022.80, 12.67, 1093, 1559, 1925, 2037, 1921, 1903, 2110, 2343, 9141, 2998, 18042.76, 12.29, 14.99
11:05:04, 1022.80, 12.67, 871, 1277, 1540, 1707, 6146, 5362, 11743, 6275, 36000, 26171, 18027.40, 12.30, 14.99
11:05:04, 1022.30, 12.68, 1615, 2743, 3632, 4921, 5470, 3568, 8577, 5068, 36000, 35499, 18058.15, 12.27, 15.27
11:05:04, 1022.60, 12.69, 376, 538, 673, 744, 676, 657, 821, 852, 3575, 1723, 18027.40, 12.30, 15.27
11:05:05, 1022.90, 12.70, 241, 345, 444, 495, 499, 489, 623, 653, 2476, 1270, 18027.40, 12.30, 15.27
11:05:05, 1022.90, 12.71, 189, 268, 353, 398, 410, 412, 517, 544, 1985, 1021, 18027.40, 12.30, 15.24
11:05:06, 1022.90, 12.71, 199, 285, 368, 418, 426, 429, 528, 557, 1864, 954, 18027.40, 12.30, 15.24
11:05:06, 1023.10, 12.72, 196, 279, 365, 408, 431, 431, 530, 560, 1930, 966, 18012.05, 12.32, 15.29
11:05:06, 1023.10, 12.72, 198, 281, 365, 409, 428, 423, 529, 547, 1928, 955, 18058.15, 12.27, 15.29
11:05:07, 1022.90, 12.72, 197, 279, 362, 406, 427, 419, 529, 539, 1921, 948, 18027.40, 12.30, 15.29
11:05:07, 1023.20, 12.72, 198, 281, 365, 409, 438, 429, 537, 554, 1953, 965, 18012.05, 12.32, 15.41
11:05:08, 1023.20, 12.72, 181, 255, 348, 385, 426, 419, 538, 573, 2510, 1262, 17981.40, 12.36, 15.41
11:05:08, 1022.90, 12.72, 231, 311, 416, 442, 484, 473, 576, 617, 2147, 1092, 18027.40, 12.30, 15.64
11:05:09, 1023.00, 12.72, 222, 302, 404, 429, 472, 455, 567, 596, 2159, 1089, 18027.40, 12.30, 15.64
11:05:09, 1023.10, 12.72, 215, 294, 392, 421, 451, 435, 548, 569, 2140, 1072, 18027.40, 12.30, 15.64
11:05:09, 1023.10, 12.72, 201, 276, 369, 400, 429, 415, 523, 539, 1964, 987, 18027.40, 12.30, 15.80
11:05:10, 1022.90, 12.73, 200, 275, 366, 398, 434, 419, 527, 541, 1899, 952, 18027.40, 12.30, 15.80
11:05:10, 1023.00, 12.72, 204, 281, 372, 406, 440, 425, 534, 547, 1870, 937, 18027.40, 12.30, 15.89
11:05:11, 1023.20, 12.73, 211, 291, 383, 417, 440, 426, 532, 543, 1762, 884, 18042.76, 12.29, 15.89
11:05:11, 1023.00, 12.73, 198, 270, 362, 390, 411, 403, 497, 523, 1849, 938, 18058.15, 12.27, 15.93
11:05:12, 1023.10, 12.73, 188, 254, 347, 372, 410, 404, 494, 528, 1929, 978, 18012.05, 12.32, 15.93
11:05:12, 1022.90, 12.72, 193, 263, 356, 384, 424, 417, 515, 544, 2002, 992, 17996.71, 12.34, 15.93
11:05:12, 1023.10, 12.72, 202, 280, 373, 404, 445, 432, 536, 563, 2049, 1004, 18012.05, 12.32, 15.95
11:05:13, 1023.30, 12.72, 211, 297, 391, 423, 462, 447, 554, 578, 2056, 1002, 18027.40, 12.30, 15.95
11:05:13, 1022.90, 12.72, 224, 315, 411, 449, 475, 461, 573, 592, 2125, 1026, 18042.76, 12.29, 15.99
11:05:14, 1023.00, 12.71, 221, 311, 406, 444, 473, 461, 570, 590, 2090, 1012, 18012.05, 12.32, 15.99
11:05:14, 1023.10, 12.71, 218, 304, 397, 438, 449, 441, 547, 566, 2016, 984, 18027.40, 12.30, 15.99
11:05:14, 1023.00, 12.71, 198, 276, 364, 402, 420, 416, 517, 537, 1892, 941, 18027.40, 12.30, 16.05
11:05:15, 1023.20, 12.71, 190, 263, 351, 390, 418, 412, 515, 530, 1865, 932, 18042.76, 12.29, 16.05
11:05:15, 1023.10, 12.71, 193, 266, 355, 395, 421, 415, 519, 533, 1866, 931, 18027.40, 12.30, 16.08
11:05:16, 1023.10, 12.71, 199, 276, 365, 403, 438, 429, 535, 549, 1872, 930, 18027.40, 12.30, 16.08
11:05:16, 1023.00, 12.71, 211, 294, 384, 425, 451, 441, 550, 564, 1893, 938, 18027.40, 12.30, 16.05
11:05:17, 1022.80, 12.70, 210, 298, 385, 433, 495, 498, 599, 618, 1793, 889, 18027.40, 12.30, 16.05
11:05:17, 1023.20, 12.70, 246, 349, 440, 508, 508, 522, 620, 640, 1820, 890, 18042.76, 12.29, 16.05
11:05:17, 1023.30, 12.71, 231, 328, 416, 489, 486, 507, 604, 624, 1851, 891, 18012.05, 12.32, 15.83
11:05:18, 1023.20, 12.71, 167, 244, 316, 383, 382, 397, 495, 507, 1669, 803, 17966.10, 12.37, 15.83
11:05:18, 1023.10, 12.71, 167, 240, 314, 372, 391, 402, 500, 515, 1806, 858, 18012.05, 12.32, 15.59
11:05:19, 1023.10, 12.71, 185, 264, 343, 401, 418, 426, 528, 541, 1863, 874, 18042.76, 12.29, 15.59
11:05:19, 1022.90, 12.72, 196, 279, 361, 421, 435, 445, 548, 561, 1923, 886, 18012.05, 12.32, 15.59
11:05:19, 1023.00, 12.72, 211, 298, 382, 446, 463, 476, 575, 590, 1964, 894, 18012.05, 12.32, 15.38
11:05:20, 1023.10, 12.72, 280, 387, 481, 544, 548, 563, 649, 670, 2267, 952, 18058.15, 12.27, 15.38
11:05:20, 1022.90, 12.72, 357, 481, 592, 633, 658, 658, 720, 760, 2841, 1049, 18012.05, 12.32, 15.27
11:05:21, 1022.80, 12.72, 445, 593, 725, 743, 744, 728, 786, 825, 3309, 1081, 18058.15, 12.27, 15.27
11:05:21, 1022.80, 12.73, 450, 610, 741, 757, 854, 820, 890, 921, 3878, 1131, 18027.40, 12.30, 15.27
