Secchi Depth (cm) = 0685
Forel Ule Scale = 11
pH Colour Scale = 99
SmartSecchi S/N = A0000001
Latitude (degs N) = 56.52161
Longitude (degs E) = -5.38821
Date = 2023-05-25
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, 415nm, 445nm, 480nm, 515nm, 555nm, 590nm, 630nm, 680nm, Clear, NIR, Resistance 10KTHERM, Temp (deg C) 10KTHERM, Temp (deg C) TMP117
11:32:55, 1020.20, 13.95, 3991, 6132, 11061, 9707, 28031, 24529, 34564, 33014, 15506, 5472, 15562.22, 15.37, 12.35
11:32:56, 1019.90, 13.96, 17069, 23345, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 34899, 15575.00, 15.35, 12.35
11:32:56, 1020.50, 13.97, 11245, 20976, 25212, 26439, 15669, 27174, 18842, 30854, 36000, 36000, 15575.00, 15.35, 12.26
11:32:57, 1021.00, 13.99, 9929, 4624, 13569, 7874, 6603, 8762, 5384, 8662, 36000, 36000, 15562.22, 15.37, 12.26
11:32:57, 1022.10, 14.04, 2688, 2379, 4964, 3397, 8243, 5278, 7833, 6971, 36000, 36000, 15523.95, 15.42, 12.26
11:32:57, 1022.10, 14.05, 5315, 5380, 11018, 7256, 22547, 18211, 28406, 28473, 36000, 36000, 15575.00, 15.35, 12.16
11:32:58, 1022.80, 14.08, 9607, 11502, 18168, 14100, 21162, 13446, 21220, 20918, 36000, 36000, 15575.00, 15.35, 12.16
11:32:58, 1023.00, 14.09, 4429, 3531, 9759, 4785, 5851, 3831, 6795, 5386, 36000, 36000, 15562.22, 15.37, 12.07
11:32:59, 1023.00, 14.09, 1823, 2561, 3952, 3995, 7818, 4084, 14216, 5764, 36000, 36000, 15575.00, 15.35, 12.07
11:32:59, 1023.00, 14.10, 1807, 3299, 4291, 7323, 15443, 7295, 28123, 8118, 36000, 36000, 15600.60, 15.32, 12.07
11:33:00, 1023.20, 14.11, 2361, 4009, 4003, 11815, 14357, 16661, 27980, 12442, 36000, 35968, 15575.00, 15.35, 12.07
11:33:00, 1023.30, 14.12, 8685, 10557, 10094, 20343, 8647, 23594, 22352, 25416, 36000, 14646, 15562.22, 15.37, 12.07
11:33:00, 1023.00, 14.12, 10001, 16191, 18318, 21664, 25737, 25950, 29279, 36000, 16561, 5831, 15600.60, 15.32, 12.16
11:33:01, 1025.50, 14.13, 4898, 9456, 9598, 11193, 2722, 2880, 3207, 3585, 7603, 2153, 15575.00, 15.35, 12.16
11:33:01, 1030.50, 14.08, 7151, 11531, 15208, 18779, 24370, 26898, 27427, 30396, 27848, 9491, 15575.00, 15.35, 12.16
11:33:02, 1029.10, 14.03, 8765, 13801, 17356, 18536, 24873, 30045, 30995, 35988, 16723, 4051, 15587.80, 15.33, 12.16
11:33:02, 1030.50, 13.98, 7894, 10831, 13668, 14683, 22657, 25159, 26440, 32939, 25944, 5030, 15575.00, 15.35, 12.16
11:33:03, 1031.20, 13.92, 11599, 20670, 25327, 23674, 33029, 28423, 31920, 36000, 36000, 31109, 15600.60, 15.32, 12.20
11:33:03, 1031.50, 13.89, 8202, 13974, 16286, 19544, 20528, 22137, 22563, 30086, 36000, 35755, 15613.42, 15.30, 12.20
11:33:03, 1026.90, 13.85, 8428, 14179, 15841, 20904, 19271, 27387, 14192, 31023, 36000, 36000, 15639.10, 15.26, 12.20
11:33:04, 1026.50, 13.83, 8599, 6674, 15568, 8798, 19192, 20163, 17526, 24028, 36000, 36000, 15639.10, 15.26, 12.20
