Secchi Depth (cm) = 0600	
Forel Ule Scale = 11
pH Colour Scale = 99
SmartSecchi S/N = A0000001
Latitude (degs N) = 56.53325
Longitude (degs E) = -5.33029
Date = 2023-05-25
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, 415nm, 445nm, 480nm, 515nm, 555nm, 590nm, 630nm, 680nm, Clear, NIR, Resistance 10KTHERM, Temp (deg C) 10KTHERM, Temp (deg C) TMP117
12:23:54, 1023.10, 15.08, 281, 399, 487, 622, 669, 947, 1590, 1781, 7722, 5306, 14781.98, 16.46, 15.20
12:23:54, 1023.10, 15.09, 320, 446, 550, 696, 756, 1082, 1806, 2036, 8411, 5696, 14746.01, 16.51, 15.30
12:23:54, 1006.60, 14.63, 366, 526, 732, 884, 1010, 1135, 1323, 1591, 7190, 4851, 14757.99, 16.49, 15.30
12:23:55, 1022.20, 15.08, 1057, 1450, 1878, 2027, 8459, 5413, 12885, 8059, 36000, 35651, 14734.04, 16.53, 15.40
12:23:55, 1021.90, 15.06, 1028, 1438, 1802, 1998, 2160, 2396, 2820, 3264, 8646, 3240, 14746.01, 16.51, 15.40
12:23:56, 1021.40, 15.04, 8661, 12260, 16100, 18260, 18185, 19393, 19689, 27330, 15537, 5672, 14722.09, 16.54, 15.33
12:23:56, 1020.20, 15.00, 9857, 15529, 21203, 24162, 29825, 29673, 34670, 36000, 36000, 35285, 14746.01, 16.51, 15.33
12:23:57, 1020.40, 15.00, 9394, 16550, 22024, 24470, 24090, 26351, 29675, 36000, 36000, 36000, 14769.98, 16.47, 15.33
12:23:57, 1020.90, 15.01, 7593, 7110, 10881, 11754, 8702, 12956, 8309, 14167, 36000, 36000, 14746.01, 16.51, 15.27
12:23:57, 1021.30, 15.05, 8835, 15913, 18246, 24449, 30120, 31844, 36000, 36000, 36000, 36000, 14781.98, 16.46, 15.27
12:23:58, 1022.20, 15.09, 6078, 5077, 9962, 7278, 11975, 7084, 13550, 10954, 36000, 36000, 14781.98, 16.46, 15.13
12:23:58, 1023.10, 15.12, 4922, 6398, 9981, 9771, 13003, 9751, 17074, 15745, 36000, 36000, 14781.98, 16.46, 15.13
12:23:59, 1022.90, 15.13, 5535, 7298, 12106, 11079, 17460, 13397, 22074, 22068, 36000, 36000, 14769.98, 16.47, 15.13
12:23:59, 1022.70, 15.11, 3456, 6765, 8438, 12441, 13795, 11553, 21041, 15689, 36000, 36000, 14806.01, 16.42, 15.02
12:23:59, 1023.30, 15.13, 3112, 5224, 5981, 10967, 9501, 10584, 15828, 11640, 36000, 25973, 14793.99, 16.44, 15.02
12:24:00, 1023.40, 15.14, 3815, 5236, 5974, 10735, 10102, 14504, 16693, 15953, 36000, 15611, 14793.99, 16.44, 15.05
12:24:00, 1023.40, 15.14, 4395, 5337, 6203, 11147, 9180, 14197, 14496, 15695, 36000, 11907, 14818.05, 16.40, 15.05
12:24:01, 1022.70, 15.11, 6789, 7869, 10720, 14820, 12919, 18230, 18530, 22481, 36000, 11927, 14818.05, 16.40, 15.13
12:24:01, 1025.10, 15.16, 8858, 12153, 15912, 19011, 22147, 24358, 25250, 34438, 35741, 12568, 14830.10, 16.39, 15.13
12:24:02, 1028.10, 15.13, 5484, 5202, 8801, 9311, 29899, 24169, 33270, 35016, 25853, 9097, 14830.10, 16.39, 15.13
12:24:02, 1030.40, 15.03, 13276, 6094, 12023, 11064, 11901, 17604, 8174, 17761, 12870, 3490, 14830.10, 16.39, 14.07
12:24:02, 1031.30, 14.95, 10621, 18018, 19444, 23847, 13320, 16585, 10055, 19228, 11115, 3109, 14830.10, 16.39, 14.07
12:24:03, 1033.10, 14.86, 2304, 3709, 4219, 5621, 2905, 3050, 3508, 3639, 9382, 1714, 14854.23, 16.35, 13.27
12:24:03, 1030.80, 14.79, 4019, 6385, 8725, 10565, 15883, 16969, 18353, 20448, 14660, 3428, 14866.31, 16.34, 13.27
12:24:04, 1037.00, 14.73, 11627, 14998, 20939, 22420, 14641, 17653, 16384, 21206, 15724, 2867, 14854.23, 16.35, 13.27
12:24:04, 1035.80, 14.65, 11365, 16371, 23990, 22339, 31166, 32139, 31078, 35331, 33763, 6037, 14926.90, 16.25, 12.91
12:24:05, 1031.40, 14.60, 12378, 19641, 25648, 27096, 30775, 33200, 31996, 35242, 33174, 8178, 14842.16, 16.37, 12.91
12:24:05, 1036.50, 14.55, 3753, 6283, 8072, 8354, 25769, 30841, 28188, 32462, 25748, 5065, 14890.51, 16.30, 12.77
12:24:05, 1035.80, 14.51, 5506, 9843, 12491, 16900, 19589, 23357, 22113, 28865, 15115, 2488, 14890.51, 16.30, 12.77
12:24:06, 1031.10, 14.47, 5174, 9068, 11451, 15467, 20308, 24715, 22310, 30574, 18500, 4056, 14926.90, 16.25, 12.77
12:24:06, 1034.20, 14.42, 2287, 3338, 4274, 5184, 26556, 30285, 30024, 31368, 25585, 6275, 14926.90, 16.25, 12.73
12:24:07, 1035.60, 14.39, 1474, 1947, 2473, 3391, 3690, 4080, 4743, 4749, 11379, 1439, 14951.22, 16.22, 12.73
12:24:07, 1029.10, 14.36, 2907, 4238, 5397, 7009, 3373, 3857, 4474, 4588, 11977, 2537, 14939.05, 16.23, 12.71
12:24:07, 1035.60, 14.33, 1315, 1697, 2224, 2673, 16909, 18108, 18456, 19743, 15981, 2941, 14939.05, 16.23, 12.71
12:24:08, 1035.00, 14.31, 3125, 4758, 6353, 7737, 16380, 21469, 18173, 26133, 12840, 2230, 14951.22, 16.22, 12.72
12:24:08, 1031.60, 14.30, 13298, 18823, 22444, 25417, 19822, 21946, 22763, 27356, 20320, 3926, 14926.90, 16.25, 12.72
12:24:09, 1031.20, 14.28, 9412, 15693, 19017, 23768, 17618, 20115, 19811, 25666, 15998, 4296, 14963.40, 16.20, 12.72
12:24:09, 1031.90, 14.27, 11014, 15495, 18055, 21838, 20483, 25552, 23659, 31547, 17628, 3040, 14951.22, 16.22, 12.71
12:24:10, 1026.80, 14.25, 11515, 18730, 23162, 31605, 29134, 35718, 34104, 35983, 21806, 6461, 14963.40, 16.20, 12.71
12:24:10, 1029.80, 14.24, 12134, 18128, 24911, 30629, 18723, 23272, 22218, 28392, 16049, 4178, 14963.40, 16.20, 12.73
12:24:10, 1034.80, 14.23, 8176, 14179, 17013, 22610, 25519, 28719, 27891, 30729, 22921, 4478, 14987.79, 16.16, 12.73
12:24:11, 1031.00, 14.22, 8930, 14974, 18350, 26386, 6012, 7892, 7251, 9374, 11277, 2060, 14975.59, 16.18, 12.73
12:24:11, 1031.40, 14.23, 1334, 1819, 2364, 2839, 3300, 4066, 3798, 4842, 9236, 1798, 14987.79, 16.16, 12.72
12:24:12, 1035.50, 14.22, 1209, 1743, 2272, 2629, 2683, 2786, 3160, 3323, 7521, 1093, 15012.23, 16.13, 12.72
12:24:12, 1030.10, 14.20, 1812, 2863, 3748, 4719, 5101, 5354, 6079, 7881, 8686, 1789, 15012.23, 16.13, 12.73
12:24:12, 1031.10, 14.21, 1216, 1714, 2220, 2533, 2570, 2600, 3052, 3367, 7524, 1513, 15000.00, 16.15, 12.73
12:24:13, 1035.50, 14.20, 1159, 1681, 2199, 2515, 2938, 3104, 3435, 3795, 7748, 1152, 15000.00, 16.15, 12.77
12:24:13, 1033.80, 14.19, 2363, 3544, 5071, 5997, 14534, 15620, 15476, 16931, 12905, 2590, 15024.46, 16.11, 12.77
12:24:14, 1031.30, 14.18, 6552, 10314, 13930, 17384, 10803, 12563, 14289, 14668, 20167, 5540, 15000.00, 16.15, 12.77
12:24:14, 1033.60, 14.19, 2954, 4479, 5943, 6922, 4800, 5663, 5622, 7027, 7392, 1428, 15036.71, 16.09, 12.75
12:24:15, 1035.60, 14.18, 6521, 10802, 13394, 15620, 4901, 5095, 6067, 6824, 7173, 1118, 15036.71, 16.09, 12.75
12:24:15, 1032.50, 14.16, 1579, 2129, 2927, 3239, 12434, 14116, 14678, 17041, 10465, 2065, 15061.24, 16.06, 12.71
12:24:15, 1033.70, 14.15, 6805, 10687, 14346, 17699, 4169, 4653, 4895, 5873, 9451, 1675, 15048.97, 16.08, 12.71
12:24:16, 1037.70, 14.15, 18184, 27429, 31884, 33761, 28019, 32053, 30975, 34273, 18896, 3304, 15061.24, 16.06, 12.71
12:24:16, 1033.40, 14.14, 8720, 15592, 18778, 23532, 28779, 33429, 32274, 35873, 19849, 3534, 15061.24, 16.06, 12.67
12:24:17, 1031.30, 14.14, 2315, 3427, 4710, 5943, 3832, 3773, 4895, 5277, 8343, 1708, 15036.71, 16.09, 12.67
12:24:17, 1035.70, 14.13, 1194, 1705, 2258, 2569, 16677, 20452, 18647, 24128, 12355, 2174, 15036.71, 16.09, 12.66
12:24:18, 1032.70, 14.12, 2705, 3903, 5198, 5984, 6181, 7013, 6089, 7586, 9490, 1593, 15048.97, 16.08, 12.66
12:24:18, 1032.20, 14.11, 5229, 8048, 10697, 14570, 10594, 14567, 13227, 18415, 10964, 2300, 15061.24, 16.06, 12.66
12:24:18, 1032.70, 14.11, 9008, 14768, 18715, 24656, 29934, 30617, 31928, 33632, 27680, 7479, 15085.83, 16.03, 12.66
12:24:19, 1031.90, 14.09, 6529, 10654, 14493, 17676, 15453, 16317, 15981, 17685, 16500, 3470, 15048.97, 16.08, 12.66
12:24:19, 1031.40, 14.10, 11032, 17955, 22479, 28910, 24729, 30183, 29060, 33495, 18124, 4075, 15073.53, 16.04, 12.67
12:24:20, 1034.90, 14.09, 8647, 14155, 16943, 19091, 23999, 26990, 26461, 30108, 18687, 3480, 15085.83, 16.03, 12.67
12:24:20, 1034.10, 14.10, 8391, 13585, 18357, 23981, 19062, 25706, 22644, 29186, 11975, 2340, 15110.45, 15.99, 12.67
12:24:20, 1033.10, 14.09, 6892, 10068, 13626, 17046, 3075, 3237, 3586, 3990, 7894, 1155, 15098.14, 16.01, 12.67
12:24:21, 1031.20, 14.10, 1184, 1694, 2170, 2499, 2428, 2563, 2872, 3184, 6667, 1577, 15110.45, 15.99, 12.67
12:24:21, 1034.10, 14.10, 1419, 1924, 2623, 3043, 8597, 8743, 9652, 11581, 9299, 1649, 15122.79, 15.97, 12.67
12:24:22, 1029.50, 14.09, 1429, 2301, 2775, 3507, 2800, 2916, 3336, 3711, 7945, 1892, 15098.14, 16.01, 12.67
12:24:22, 1034.40, 14.07, 5252, 6528, 9431, 10239, 3871, 4621, 4405, 5822, 6266, 1066, 15073.53, 16.04, 12.68
12:24:23, 1034.60, 14.07, 3602, 5527, 7400, 9910, 2811, 2934, 3255, 3582, 7797, 1169, 15110.45, 15.99, 12.68
12:24:23, 1032.50, 14.07, 1875, 2932, 3883, 4854, 16839, 18220, 18562, 20043, 12758, 2596, 15098.14, 16.01, 12.68
12:24:23, 1034.10, 14.06, 3209, 5025, 6671, 8250, 20637, 24323, 23658, 29740, 14534, 2857, 15122.79, 15.97, 12.69
12:24:24, 1036.00, 14.06, 7179, 10708, 14318, 16128, 4120, 4468, 5052, 5343, 12201, 1593, 15110.45, 15.99, 12.69
12:24:24, 1034.30, 14.06, 6802, 11567, 13859, 16100, 22830, 27281, 25183, 31150, 15756, 3293, 15135.14, 15.96, 12.69
12:24:25, 1035.90, 14.06, 1674, 2437, 3225, 3893, 2536, 2626, 2922, 3225, 6568, 967, 15110.45, 15.99, 12.69
