% Device,CC1603004
% File name,CC1603004_20230203_150231
% Cast time (UTC),2023-02-03 15:02:31
% Cast time (local),2023-02-03 15:02:31
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,50.2160299
% Start longitude,-5.0278027
% Start altitude,60.729999542236328
% Start GPS horizontal error(Meter),5
% Start GPS vertical error(Meter),7.6500000953674316
% Start GPS number of satellites,6
% End latitude,50.2159173
% End longitude,-5.0279006
% End altitude,56.580001831054688
% End GPS horizontal error(Meter),19.319999694824219
% End GPS vertical error(Meter),24.530000686645508
% End GPS number of satellites,5
% Cast duration (Seconds),345.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-01-10
% Temperature calibration date,2018-12-08
% Pressure calibration date,2018-12-05
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14989930016986364,9.8094220939406362,29004.701977185916,41662.142363223604,26.014806879675266,1478.2190491438009,1019.9763968456671
0.44999999999999996,0.44941357526856257,9.7428616592289,31288.674017048117,45028.924680901713,28.337113068059498,1480.7979337086256,1021.7973341371846
0.74999999999999989,0.74855260730705975,9.7235599091896887,32262.491272055693,46456.19768887425,29.329741808183332,1481.9386888687723,1022.5756650276878
1.05,1.0474583173554077,9.7472366745637515,33325.160116938765,47953.683956304361,30.381331260805521,1483.3097544217549,1023.3935601599515
1.35,1.3461069091892117,9.7971076642008619,34571.187814032513,49675.375533580955,31.59972357191954,1484.9796078070672,1024.3376117852718
1.65,1.6445531402545615,9.8309345579976846,35166.904636264953,50482.286913243515,32.174504086930583,1485.8072751601212,1024.782065928259
1.9500000000000002,1.9428874970079295,9.8432370908555775,35587.2724183111,51067.689729165249,32.590813839556887,1486.36371074497,1025.1063666527259
2.25,2.2411494305806881,9.8529248107635716,35815.01185772656,51380.209913782994,32.813751009469,1486.6752209698848,1025.2801662173958
2.55,2.539368149392542,9.8615645182466967,35978.511211430174,51601.974421714294,32.972290822182394,1486.9045054530318,1025.4038690499463
2.85,2.8375594965810658,9.8673669927994876,36064.951611047225,51717.3430653583,33.054930273346216,1487.0310790031863,1025.4687867545777
3.15,3.1357314358612793,9.8737240905504251,36157.085662425816,51840.012223161357,33.142869419547921,1487.1661060596498,1025.5377493310514
3.4499999999999997,3.433880608495993,9.870817333672937,36262.8668020352,51996.00923465885,33.253275967593645,1487.2949755596867,1025.6257923176256
3.75,3.7320016075216409,9.8663903590711044,36389.652705110348,52184.4279409941,33.386595091342294,1487.4462731136473,1025.7319834775817
4.05,4.0300919318287658,9.8762008289777548,36531.146852529644,52372.600776769294,33.521792895157887,1487.651352337537,1025.837274779399
4.35,4.3281626822836987,9.8843979249862084,36576.162295712777,52424.815205875784,33.559988601964783,1487.7324300294288,1025.8670915407834
4.7622222966694743,4.7377238432936135,9.8864551913961556,36603.60153729585,52461.050193375886,33.585901664657726,1487.7782039146191,1025.8888513893494
