% Device,CC1603004
% File name,CC1603004_20230203_153225
% Cast time (UTC),2023-02-03 15:32:25
% Cast time (local),2023-02-03 15:32:25
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,50.2159798
% Start longitude,-5.0278562
% Start altitude,50.040000915527344
% Start GPS horizontal error(Meter),30.069999694824219
% Start GPS vertical error(Meter),35.569999694824219
% Start GPS number of satellites,7
% End latitude,50.2159191
% End longitude,-5.0278333
% End altitude,51.209999084472656
% End GPS horizontal error(Meter),5.9099998474121094
% End GPS vertical error(Meter),7.0199999809265137
% End GPS number of satellites,7
% Cast duration (Seconds),296
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-01-10
% Temperature calibration date,2018-12-08
% Pressure calibration date,2018-12-05
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14971151595920082,9.7530003341477212,30600.519202768533,44025.722827592777,27.641649238912283,1479.9853689434756,1021.2523284212464
0.44999999999999996,0.44897717517220392,9.72979950508652,31829.591145982769,45824.61114024141,28.889754899142236,1481.4216507837912,1022.2302175211164
0.74999999999999989,0.74800156305724452,9.7569315059919326,32751.992920305511,47115.771590278651,29.795140201917746,1482.6272286208937,1022.9334090147686
1.05,1.046841667901687,9.7841208448534029,33487.990314752242,48136.893360217073,30.514624487889925,1483.6068617338963,1023.4916857192624
1.35,1.345524983880916,9.7909989078699731,34147.976571470725,49075.878306768318,31.176078196376022,1484.4417189124893,1024.0080098473363
1.65,1.6440397522740131,9.8174135249790666,34983.454632194218,50238.44549379871,32.000166122562646,1485.5458979286241,1024.6482021063328
1.9500000000000002,1.9424315027142827,9.8428310599238689,35267.432063405518,50609.3089892027,32.265896575732455,1485.9666689339856,1024.8528167426011
2.25,2.240757348369002,9.851139389912646,35588.05024116447,51057.226340590059,32.58432692951763,1486.3894056660072,1025.101366602607
2.55,2.5390035417039694,9.8559592866463213,35968.3265278045,51595.662928124228,32.967040981692037,1486.8778113883275,1025.4006978452278
2.85,2.8371885006880069,9.8658632197375784,36131.159800980378,51814.520657739675,33.123800001615329,1487.1095030799891,1025.5228037160641
3.15,3.1353459920420432,9.86531148528723,36213.399630325446,51933.279938725187,33.2080343785082,1487.2150234797027,1025.5900225387079
3.4499999999999997,3.4334881823300427,9.8668707767947019,36261.819600306386,52000.392912288647,33.255849747874926,1487.2838325228322,1025.6284576954622
3.75,3.7316209298997967,9.8655278356901519,36292.546060939931,52046.460090859444,33.288301196624637,1487.3234307218283,1025.6553797826243
4.05,4.0297455418145507,9.86711028201804,36329.695697411218,52097.371137962466,33.324607877129765,1487.3783084887184,1025.6848258398934
4.35,4.3278598141846931,9.8717836839460542,36386.163559776527,52171.354195064661,33.377768678772341,1487.4648923729926,1025.726916850195
4.6499999999999995,4.62594260811768,9.8866837359419755,36620.769299946405,52485.311554875436,33.60326847329911,1487.7983370072025,1025.9018645839306
4.9312767763395566,4.9053769925473736,9.893437450629067,36820.784126473925,52761.760973781777,33.80112932587992,1488.0683597501,1026.0565102560927
