[cast header]


depthinmeters=no
seacast version= Version 4.4.0

instrumentsn=08249
date=02/03/23
time=11:58:40.89
pressureoffset=0.06
usepressureoffset=yes
slot1sensor1=micro c sensor sn 500482 02/01/22
slot1sensor2=micro c sensor sn 00/00/00
slot3sensor1=micro p&t sensor sn e00029 02/01/22
slot3sensor2=micro p&t sensor sn 400138 02/01/22

average sound velocity=1476.59
 
comments= 
 
[data]
Date (mm/dd/yy),Time,Conductivity,Pressure (dBar),Temperature (C),Battery (V),Salinity (PSU),Density (kg m-3),Calc. SV (m/s)
02/03/23,11:58:40.96,02.755,-0000.07,10.664,008.10,02.014,1001.217,1452.38
02/03/23,11:58:40.98,10.002,-0000.09,10.664,008.10,07.978,1005.854,1459.64
02/03/23,11:58:41.00,22.048,-0000.01,09.685,008.10,19.320,1014.783,1469.63
02/03/23,11:58:41.04,22.046,-0000.02,09.683,008.10,19.320,1014.783,1469.62
02/03/23,11:58:41.08,22.048,-0000.03,09.683,008.10,19.322,1014.785,1469.62
02/03/23,11:58:41.12,22.041,-0000.01,09.681,008.10,19.315,1014.780,1469.60
02/03/23,11:58:41.16,22.034,-0000.04,09.681,008.10,19.309,1014.775,1469.60
02/03/23,11:58:41.20,22.030,-0000.06,09.681,008.10,19.305,1014.772,1469.59
02/03/23,11:58:41.25,22.029,-0000.05,09.679,008.10,19.305,1014.773,1469.58
02/03/23,11:58:41.29,22.032,-0000.03,09.676,008.10,19.310,1014.776,1469.58
02/03/23,11:58:41.32,22.036,0000.00,09.674,008.10,19.314,1014.780,1469.58
02/03/23,11:58:41.36,22.037,-0000.02,09.672,008.10,19.316,1014.782,1469.57
02/03/23,11:58:41.40,22.039,0000.00,09.672,008.13,19.319,1014.784,1469.57
02/03/23,11:58:41.44,22.042,-0000.02,09.670,008.10,19.323,1014.787,1469.57
02/03/23,11:58:41.48,22.046,0000.00,09.668,008.10,19.327,1014.791,1469.57
02/03/23,11:58:41.52,22.049,-0000.01,09.666,008.10,19.331,1014.794,1469.57
02/03/23,11:58:41.56,22.052,-0000.03,09.666,008.10,19.334,1014.797,1469.57
02/03/23,11:58:41.60,22.055,0000.01,09.666,008.10,19.337,1014.799,1469.57
02/03/23,11:58:41.64,22.060,-0000.01,09.666,008.13,19.342,1014.803,1469.58
02/03/23,11:58:41.68,22.063,-0000.04,09.666,008.10,19.345,1014.805,1469.58
02/03/23,11:58:41.73,22.066,0000.01,09.668,008.10,19.347,1014.807,1469.59
02/03/23,11:58:41.76,22.065,-0000.03,09.668,008.10,19.346,1014.806,1469.59
02/03/23,11:58:41.80,22.065,-0000.01,09.668,008.10,19.346,1014.806,1469.59
02/03/23,11:58:41.84,22.061,-0000.01,09.670,008.10,19.341,1014.802,1469.59
02/03/23,11:58:41.88,22.061,-0000.01,09.671,008.10,19.341,1014.801,1469.60
02/03/23,11:58:41.92,22.060,-0000.05,09.672,008.10,19.339,1014.799,1469.60
02/03/23,11:58:41.96,22.059,-0000.01,09.672,008.10,19.338,1014.799,1469.60
02/03/23,11:58:42.00,22.062,-0000.03,09.671,008.10,19.342,1014.802,1469.60
02/03/23,11:58:42.04,22.063,0000.01,09.671,008.10,19.343,1014.803,1469.60
02/03/23,11:58:42.08,22.064,-0000.02,09.671,008.10,19.344,1014.803,1469.60
02/03/23,11:58:42.12,22.068,-0000.02,09.671,008.10,19.347,1014.806,1469.60
02/03/23,11:58:42.16,22.069,-0000.01,09.670,008.13,19.348,1014.807,1469.60
02/03/23,11:58:42.20,22.066,-0000.01,09.670,008.10,19.346,1014.806,1469.60
02/03/23,11:58:42.24,22.061,-0000.03,09.669,008.10,19.342,1014.802,1469.59
02/03/23,11:58:42.28,22.049,-0000.01,09.668,008.10,19.330,1014.793,1469.57
02/03/23,11:58:42.32,22.041,-0000.02,09.668,008.10,19.323,1014.788,1469.56
02/03/23,11:58:42.36,22.032,-0000.02,09.667,008.10,19.314,1014.781,1469.55
02/03/23,11:58:42.40,22.026,-0000.01,09.668,008.10,19.309,1014.777,1469.55
