Cast  0
Minos CTD  8249
Date (mm/dd/yy),Time,Conductivity,Pressure (dBar),Temperature (C),Battery (V),Salinity (PSU),Density (kg m-3),Calc. SV (m/s)
02/03/23,14:57:51.70,00.428,-0000.05,10.072,008.05,00.292,0999.925,1447.92
02/03/23,14:57:51.72,12.348,-0000.07,10.072,008.05,10.179,1007.632,1460.03
02/03/23,14:57:51.75,27.156,0000.00,09.733,008.05,24.248,1018.611,1475.78
02/03/23,14:57:51.77,27.155,0000.01,09.734,008.05,24.247,1018.610,1475.78
02/03/23,14:57:51.80,27.151,0000.01,09.735,008.05,24.242,1018.606,1475.78
02/03/23,14:57:51.83,27.144,0000.02,09.738,008.05,24.233,1018.599,1475.78
02/03/23,14:57:51.87,27.131,0000.01,09.738,008.05,24.220,1018.589,1475.76
02/03/23,14:57:51.91,27.122,-0000.01,09.737,008.05,24.212,1018.583,1475.75
02/03/23,14:57:51.95,27.115,0000.04,09.735,008.05,24.207,1018.579,1475.74
02/03/23,14:57:51.99,27.111,0000.03,09.733,008.05,24.204,1018.577,1475.73
02/03/23,14:57:52.03,27.108,0000.01,09.733,008.05,24.201,1018.574,1475.72
02/03/23,14:57:52.07,27.107,0000.01,09.733,008.05,24.200,1018.573,1475.72
02/03/23,14:57:52.10,27.112,0000.03,09.734,008.05,24.204,1018.577,1475.73
02/03/23,14:57:52.15,27.121,0000.00,09.733,008.05,24.214,1018.585,1475.74
02/03/23,14:57:52.19,27.129,0000.00,09.732,008.05,24.222,1018.591,1475.75
02/03/23,14:57:52.23,27.127,0000.05,09.731,008.05,24.220,1018.590,1475.74
02/03/23,14:57:52.26,27.126,0000.02,09.731,008.05,24.220,1018.589,1475.74
02/03/23,14:57:52.31,27.132,0000.02,09.730,008.05,24.226,1018.595,1475.74
02/03/23,14:57:52.35,27.136,0000.05,09.728,008.05,24.231,1018.599,1475.74
02/03/23,14:57:52.39,27.141,0000.05,09.728,008.05,24.236,1018.603,1475.75
02/03/23,14:57:52.43,27.141,0000.03,09.726,008.05,24.238,1018.604,1475.74
02/03/23,14:57:52.47,27.144,0000.06,09.725,008.05,24.242,1018.608,1475.74
02/03/23,14:57:52.51,27.143,0000.06,09.724,008.05,24.242,1018.608,1475.74
02/03/23,14:57:52.55,27.139,0000.07,09.724,008.05,24.237,1018.605,1475.73
02/03/23,14:57:52.59,27.139,0000.04,09.723,008.05,24.238,1018.605,1475.73
02/03/23,14:57:52.63,27.142,0000.06,09.723,008.05,24.241,1018.607,1475.74
02/03/23,14:57:52.67,27.146,0000.03,09.723,008.05,24.245,1018.610,1475.74
02/03/23,14:57:52.71,27.153,0000.04,09.724,008.05,24.252,1018.616,1475.75
02/03/23,14:57:52.75,27.160,0000.06,09.725,008.05,24.258,1018.620,1475.76
02/03/23,14:57:52.79,27.168,0000.08,09.726,008.05,24.264,1018.625,1475.77
02/03/23,14:57:52.83,27.173,0000.04,09.727,008.05,24.269,1018.628,1475.78
02/03/23,14:57:52.87,27.176,0000.06,09.728,008.05,24.271,1018.630,1475.79
02/03/23,14:57:52.91,27.181,0000.06,09.729,008.05,24.275,1018.633,1475.80
02/03/23,14:57:52.95,27.185,0000.06,09.728,008.05,24.280,1018.637,1475.80
02/03/23,14:57:52.99,27.190,0000.06,09.728,008.05,24.285,1018.641,1475.81
02/03/23,14:57:53.03,27.190,0000.06,09.728,008.05,24.285,1018.641,1475.81
02/03/23,14:57:53.07,27.191,0000.07,09.727,008.05,24.287,1018.643,1475.81
02/03/23,14:57:53.11,27.191,0000.07,09.726,008.05,24.287,1018.643,1475.80
02/03/23,14:57:53.15,27.192,0000.06,09.726,008.05,24.288,1018.644,1475.81
02/03/23,14:57:53.19,27.192,0000.07,09.726,008.05,24.288,1018.644,1475.81
02/03/23,14:57:53.23,27.192,0000.07,09.726,008.05,24.288,1018.644,1475.81
02/03/23,14:57:53.26,27.191,0000.08,09.726,008.05,24.288,1018.643,1475.80
02/03/23,14:57:53.31,27.193,0000.06,09.727,008.05,24.289,1018.644,1475.81
02/03/23,14:57:53.35,27.193,0000.07,09.728,008.05,24.288,1018.644,1475.81
02/03/23,14:57:53.39,27.192,0000.07,09.728,008.05,24.287,1018.643,1475.81
02/03/23,14:57:53.43,27.192,0000.06,09.728,008.05,24.287,1018.643,1475.81
02/03/23,14:57:53.47,27.193,0000.07,09.728,008.05,24.288,1018.643,1475.81
02/03/23,14:57:53.51,27.192,0000.06,09.728,008.05,24.287,1018.643,1475.81
02/03/23,14:57:53.55,27.188,0000.07,09.728,008.05,24.283,1018.640,1475.80
02/03/23,14:57:53.59,27.183,0000.05,09.729,008.05,24.277,1018.635,1475.80
02/03/23,14:57:53.63,27.179,0000.06,09.728,008.05,24.274,1018.632,1475.79
02/03/23,14:57:53.67,27.176,0000.07,09.728,008.05,24.271,1018.630,1475.79
02/03/23,14:57:53.71,27.176,0000.05,09.728,008.05,24.271,1018.630,1475.79
02/03/23,14:57:53.75,27.176,0000.07,09.728,008.05,24.271,1018.630,1475.79
02/03/23,14:57:53.79,27.177,0000.06,09.728,008.05,24.272,1018.631,1475.79
02/03/23,14:57:53.83,27.178,0000.07,09.730,008.05,24.272,1018.631,1475.80
02/03/23,14:57:53.87,27.181,0000.06,09.730,008.05,24.275,1018.633,1475.80
02/03/23,14:57:53.91,27.183,0000.07,09.730,008.05,24.277,1018.634,1475.81
02/03/23,14:57:53.94,27.188,0000.07,09.731,008.05,24.281,1018.638,1475.81
02/03/23,14:57:53.99,27.192,0000.05,09.733,008.05,24.284,1018.639,1475.82
02/03/23,14:57:54.03,27.196,0000.08,09.733,008.05,24.287,1018.642,1475.83
02/03/23,14:57:54.07,27.196,0000.08,09.735,008.05,24.287,1018.641,1475.83
02/03/23,14:57:54.10,27.196,0000.08,09.736,008.05,24.286,1018.640,1475.84
02/03/23,14:57:54.15,27.199,0000.08,09.739,008.05,24.286,1018.640,1475.85
02/03/23,14:57:54.19,27.201,0000.08,09.741,008.05,24.286,1018.640,1475.86
02/03/23,14:57:54.23,27.203,0000.06,09.741,008.05,24.288,1018.642,1475.86
02/03/23,14:57:54.27,27.205,0000.08,09.740,008.05,24.291,1018.644,1475.86
02/03/23,14:57:54.31,27.206,0000.08,09.737,008.05,24.294,1018.647,1475.85
02/03/23,14:57:54.35,27.205,0000.09,09.735,008.05,24.294,1018.647,1475.85
02/03/23,14:57:54.39,27.205,0000.06,09.734,008.05,24.295,1018.648,1475.84
02/03/23,14:57:54.43,27.204,0000.08,09.732,008.05,24.295,1018.648,1475.84
02/03/23,14:57:54.46,27.205,0000.07,09.730,008.05,24.298,1018.651,1475.83
02/03/23,14:57:54.51,27.204,0000.08,09.728,008.05,24.298,1018.652,1475.82
02/03/23,14:57:54.55,27.201,0000.07,09.726,008.05,24.297,1018.651,1475.81
02/03/23,14:57:54.59,27.199,0000.09,09.724,008.05,24.296,1018.650,1475.81
02/03/23,14:57:54.62,27.198,0000.09,09.724,008.05,24.295,1018.649,1475.80
02/03/23,14:57:54.67,27.198,0000.09,09.725,008.05,24.294,1018.649,1475.81
02/03/23,14:57:54.71,27.198,0000.09,09.726,008.05,24.294,1018.648,1475.81
02/03/23,14:57:54.75,27.195,0000.09,09.725,008.05,24.292,1018.647,1475.81
02/03/23,14:57:54.79,27.198,0000.08,09.725,008.05,24.294,1018.649,1475.81
02/03/23,14:57:54.83,27.196,0000.10,09.724,008.05,24.294,1018.649,1475.80
02/03/23,14:57:54.87,27.198,0000.11,09.724,008.05,24.295,1018.649,1475.81
02/03/23,14:57:54.91,27.200,0000.11,09.724,008.05,24.297,1018.651,1475.81
02/03/23,14:57:54.95,27.203,0000.10,09.723,008.05,24.301,1018.654,1475.81
02/03/23,14:57:54.99,27.204,0000.09,09.723,008.05,24.302,1018.655,1475.81
02/03/23,14:57:55.03,27.204,0000.11,09.722,008.05,24.302,1018.656,1475.81
02/03/23,14:57:55.07,27.203,0000.09,09.720,008.05,24.302,1018.656,1475.80
02/03/23,14:57:55.10,27.203,0000.11,09.719,008.05,24.303,1018.657,1475.80
02/03/23,14:57:55.15,27.205,0000.09,09.718,008.05,24.306,1018.659,1475.80
02/03/23,14:57:55.19,27.207,0000.09,09.718,008.05,24.308,1018.660,1475.80
02/03/23,14:57:55.23,27.207,0000.09,09.717,008.05,24.309,1018.661,1475.80
02/03/23,14:57:55.27,27.208,0000.10,09.718,008.05,24.309,1018.661,1475.80
