Secchi Depth (cm) = 0225
Forel Ule Scale = 08
pH Colour Scale = 99
SmartSecchi S/N = A003
Latitude (degs N) = 50.21597
Longitude (degs E) = -5.02768
Date = 2023-02-03
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, 415nm, 445nm, 480nm, 515nm, 555nm, 590nm, 630nm, 680nm, Clear, NIR, Resistance 10KTHERM, Temp (deg C) 10KTHERM, Temp (deg C) TMP117
13:33:48, 1024.80, 10.63, 542, 796, 1101, 1341, 1503, 1572, 1927, 2172, 10844, 5547, 18898.30, 11.33, 11.06
13:33:48, 1024.90, 10.64, 604, 845, 1172, 1420, 1620, 1786, 2003, 2440, 8452, 4415, 18833.15, 11.40, 11.06
13:33:48, 1025.00, 10.65, 618, 867, 1188, 1483, 1651, 1867, 2069, 2519, 7375, 3697, 18898.30, 11.33, 11.06
13:33:49, 1024.80, 10.65, 644, 911, 1241, 1563, 1623, 1829, 2051, 2469, 6794, 3391, 18833.15, 11.40, 11.13
13:33:49, 1025.00, 10.66, 616, 868, 1186, 1483, 1594, 1795, 1998, 2424, 7119, 3595, 18849.41, 11.39, 11.13
13:33:50, 1024.90, 10.67, 674, 947, 1312, 1589, 1792, 1966, 2203, 2702, 9484, 4851, 18881.99, 11.35, 11.16
13:33:50, 1024.70, 10.67, 654, 930, 1290, 1547, 1663, 1811, 2055, 2492, 9096, 4742, 18800.68, 11.44, 11.16
13:33:50, 1024.70, 10.68, 634, 896, 1243, 1497, 1632, 1792, 2019, 2455, 8638, 4506, 18816.90, 11.42, 11.16
13:33:51, 1025.10, 10.67, 617, 870, 1191, 1474, 1588, 1774, 1989, 2405, 6879, 3448, 18849.41, 11.39, 11.21
13:33:51, 1024.80, 10.67, 576, 853, 1140, 1457, 1573, 1706, 2013, 2346, 5501, 2746, 18833.15, 11.40, 11.21
13:33:52, 1024.40, 10.68, 668, 1011, 1357, 1729, 2120, 2251, 2779, 3127, 7904, 3797, 18865.69, 11.37, 11.21
13:33:52, 1024.90, 10.69, 685, 1060, 1403, 1787, 2047, 2164, 2716, 3080, 10208, 4831, 18833.15, 11.40, 11.21
13:33:53, 1025.00, 10.71, 912, 1196, 1751, 2008, 2163, 2563, 2745, 3437, 9025, 4100, 18865.69, 11.37, 11.21
13:33:53, 1024.90, 10.71, 668, 997, 1351, 1776, 2504, 2529, 3276, 3641, 17202, 9090, 18833.15, 11.40, 11.16
13:33:53, 1024.80, 10.71, 1098, 1429, 2007, 2603, 2960, 3330, 4187, 4533, 13749, 6275, 18768.28, 11.47, 11.16
13:33:54, 1024.70, 10.72, 829, 1181, 1645, 1913, 1858, 2089, 2308, 2862, 7116, 3142, 18833.15, 11.40, 11.12
13:33:54, 1024.90, 10.73, 766, 1170, 1558, 2094, 2387, 2464, 3245, 3462, 15429, 7450, 18833.15, 11.40, 11.12
13:33:55, 1025.00, 10.73, 935, 1352, 1936, 2247, 2315, 2429, 2911, 3380, 17127, 8807, 18833.15, 11.40, 11.12
13:33:55, 1024.90, 10.73, 862, 1199, 1694, 1959, 2452, 2712, 3066, 3723, 17862, 8932, 18849.41, 11.39, 11.08
13:33:55, 1024.60, 10.73, 981, 1358, 1978, 2262, 2493, 2565, 3166, 3694, 17150, 9088, 18865.69, 11.37, 11.08
13:33:56, 1024.80, 10.74, 721, 1094, 1480, 1892, 2010, 2196, 2798, 2982, 9911, 4300, 18849.41, 11.39, 11.05
13:33:56, 1025.00, 10.74, 837, 1155, 1598, 2057, 2093, 2438, 2687, 3259, 10484, 4904, 18833.15, 11.40, 11.05
13:33:57, 1024.90, 10.74, 966, 1381, 1970, 2289, 2711, 2710, 3562, 3903, 11430, 5522, 18800.68, 11.44, 11.05
13:33:57, 1025.00, 10.75, 946, 1399, 1846, 2446, 2678, 3274, 3495, 4202, 17917, 8081, 18719.82, 11.53, 11.00
13:33:57, 1024.90, 10.75, 992, 1333, 1944, 2233, 2494, 2609, 3110, 3701, 17426, 9152, 18816.90, 11.42, 11.00
13:33:58, 1024.40, 10.75, 697, 1055, 1452, 1876, 2076, 2223, 2850, 3060, 10618, 4755, 18784.47, 11.46, 10.97
13:33:58, 1026.60, 10.75, 761, 1087, 1489, 1920, 1891, 2190, 2385, 2961, 7017, 3195, 18752.11, 11.49, 10.97
13:33:59, 1028.30, 10.72, 794, 1123, 1595, 1848, 2376, 2414, 2968, 3485, 9511, 4434, 18784.47, 11.46, 10.97
13:33:59, 1028.90, 10.68, 848, 1347, 1836, 2303, 2706, 2773, 3725, 3927, 12114, 5417, 18816.90, 11.42, 10.27
13:34:00, 1029.60, 10.64, 887, 1375, 1810, 2501, 2495, 2837, 3438, 3805, 13780, 5267, 18816.90, 11.42, 10.27
13:34:00, 1030.70, 10.62, 698, 1043, 1412, 1840, 1772, 1984, 2298, 2662, 12614, 4446, 18833.15, 11.40, 9.86
13:34:00, 1031.20, 10.59, 820, 1188, 1630, 2091, 2099, 2358, 2721, 3171, 14090, 4946, 18800.68, 11.44, 9.86
13:34:01, 1033.80, 10.57, 848, 1226, 1703, 2214, 2296, 2646, 3024, 3492, 14061, 4271, 18833.15, 11.40, 9.86
13:34:01, 1036.10, 10.55, 784, 1212, 1668, 2255, 2463, 2812, 3355, 3727, 12880, 3202, 18752.11, 11.49, 9.70
13:34:02, 1035.40, 10.54, 740, 1184, 1608, 2186, 2324, 2481, 3147, 3421, 10724, 2829, 18800.68, 11.44, 9.70
13:34:02, 1035.70, 10.52, 717, 1169, 1593, 2140, 2258, 2299, 3012, 3247, 9770, 2629, 18800.68, 11.44, 9.67
13:34:02, 1035.40, 10.52, 727, 1176, 1641, 2112, 2377, 2367, 3103, 3393, 9510, 2585, 18752.11, 11.49, 9.67
13:34:03, 1035.10, 10.51, 787, 1232, 1755, 2162, 2562, 2491, 3266, 3609, 9647, 2839, 18768.28, 11.47, 9.67
13:34:03, 1033.70, 10.50, 725, 1109, 1581, 1909, 2498, 2473, 3061, 3582, 9153, 2747, 18849.41, 11.39, 9.66
13:34:04, 1028.90, 10.49, 771, 1135, 1619, 1916, 2322, 2374, 2850, 3415, 8915, 3547, 18816.90, 11.42, 9.66
13:34:04, 1027.80, 10.48, 870, 1263, 1789, 2104, 2385, 2478, 2959, 3539, 10258, 4678, 18816.90, 11.42, 9.63
13:34:04, 1029.00, 10.48, 894, 1292, 1825, 2150, 2427, 2495, 2994, 3579, 10100, 4781, 18800.68, 11.44, 9.63
13:34:05, 1030.40, 10.47, 815, 1191, 1695, 2010, 2067, 2141, 2534, 3074, 8197, 2959, 18800.68, 11.44, 9.63
13:34:05, 1030.10, 10.47, 856, 1213, 1746, 2032, 2122, 2240, 2579, 3194, 8295, 3114, 18833.15, 11.40, 9.63
13:34:06, 1030.40, 10.47, 934, 1267, 1857, 2133, 2428, 2605, 2889, 3667, 8875, 3402, 18800.68, 11.44, 9.63
13:34:06, 1030.40, 10.46, 852, 1155, 1685, 1969, 2373, 2629, 2841, 3633, 8711, 3280, 18768.28, 11.47, 9.63
13:34:07, 1030.60, 10.46, 822, 1110, 1612, 1910, 2247, 2523, 2725, 3472, 7916, 2923, 18768.28, 11.47, 9.63
13:34:07, 1030.50, 10.47, 902, 1196, 1738, 2084, 2189, 2485, 2674, 3392, 7483, 2736, 18800.68, 11.44, 9.63
13:34:07, 1030.40, 10.47, 929, 1234, 1782, 2171, 2209, 2556, 2733, 3438, 7762, 2832, 18800.68, 11.44, 9.63
13:34:08, 1030.40, 10.46, 890, 1201, 1722, 2130, 2199, 2581, 2907, 3433, 8078, 2906, 18784.47, 11.46, 9.63
13:34:08, 1030.40, 10.46, 804, 1113, 1571, 1982, 2160, 2549, 2773, 3380, 7831, 2804, 18833.15, 11.40, 9.63
13:34:09, 1029.10, 10.46, 797, 1117, 1548, 2010, 2067, 2458, 2648, 3227, 6979, 2668, 18800.68, 11.44, 9.63
13:34:09, 1028.30, 10.46, 874, 1241, 1677, 2203, 2186, 2767, 2915, 3628, 8214, 3170, 18833.15, 11.40, 9.63
13:34:09, 1028.30, 10.46, 924, 1265, 1752, 2316, 2306, 2871, 3157, 3979, 8998, 3963, 18833.15, 11.40, 9.63
13:34:10, 1028.60, 10.46, 799, 1126, 1568, 2071, 2223, 2682, 3016, 3669, 8836, 3530, 18816.90, 11.42, 9.63
13:34:10, 1029.10, 10.46, 843, 1214, 1681, 2199, 2445, 2772, 3257, 3715, 10768, 4534, 18800.68, 11.44, 9.63
13:34:11, 1029.50, 10.46, 688, 961, 1355, 1783, 1873, 2061, 2429, 2796, 6559, 2443, 18849.41, 11.39, 9.63
13:34:11, 1029.40, 10.45, 650, 950, 1310, 1751, 1926, 2118, 2544, 2942, 7198, 3041, 18816.90, 11.42, 9.63
13:34:11, 1029.30, 10.45, 749, 1183, 1547, 2144, 2150, 2532, 3218, 3125, 10580, 3623, 18816.90, 11.42, 9.63
13:34:12, 1029.40, 10.45, 728, 1087, 1500, 2097, 2421, 2339, 3370, 3234, 15093, 5657, 18816.90, 11.42, 9.63
13:34:12, 1029.20, 10.44, 664, 1037, 1407, 1792, 2060, 2210, 2737, 3269, 13828, 6398, 18816.90, 11.42, 9.66
13:34:13, 1029.20, 10.44, 798, 1188, 1640, 2041, 2085, 2422, 2809, 3339, 15821, 7089, 18800.68, 11.44, 9.66
13:34:13, 1028.90, 10.44, 824, 1168, 1657, 2017, 2280, 2606, 2942, 3619, 15464, 6222, 18800.68, 11.44, 9.66
13:34:14, 1029.10, 10.44, 849, 1149, 1628, 2090, 2298, 2764, 3143, 3631, 15023, 6088, 18833.15, 11.40, 9.64
13:34:14, 1028.70, 10.44, 813, 1207, 1618, 2225, 2343, 2631, 3325, 3630, 12378, 5269, 18849.41, 11.39, 9.64
13:34:14, 1028.70, 10.43, 738, 1174, 1566, 2129, 2197, 2296, 3138, 3288, 10414, 4730, 18816.90, 11.42, 9.65
13:34:15, 1028.90, 10.43, 757, 1182, 1641, 2080, 2323, 2298, 3161, 3382, 9565, 4413, 18833.15, 11.40, 9.65
13:34:15, 1029.10, 10.43, 792, 1164, 1677, 2031, 2122, 2106, 2757, 3113, 8670, 3930, 18816.90, 11.42, 9.65
13:34:16, 1028.80, 10.44, 802, 1108, 1636, 1873, 1932, 1977, 2414, 2910, 7622, 3436, 18833.15, 11.40, 9.64
